onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	20	3	1	0	stay	scene	bottom	-1	-1	1	0.318	-1
40	28	3	2	0	switch	scene	bottom	1	0	0	0	3
68	20	3	3	0	stay	scene	bottom	-1	-1	1	0.406	-1
88	20	3	4	0	stay	scene	bottom	1	1	1	0.335	3
108	28	3	5	0	switch	scene	bottom	1	1	1	0.285	4
136	20	3	6	0	stay	scene	bottom	1	1	1	0.349	4
156	28	3	7	0	switch	scene	bottom	1	1	1	0.348	3
184	20	3	8	0	stay	scene	bottom	1	1	1	0.43	6
204	28	3	9	0	switch	scene	top	-1	-1	1	0.547	-1
232	20	3	10	0	stay	scene	top	1	1	1	0.356	3
252	20	3	11	0	stay	scene	top	1	-1	0	0.476	3
272	20	3	12	0	stay	scene	top	-1	-1	1	0.46	-1
292	20	3	13	0	stay	scene	top	-1	-1	1	0.389	-1
312	28	3	14	0	switch	scene	top	-1	1	0	0.354	-1
340	28	3	15	0	switch	scene	top	-1	-1	1	0.394	-1
368	20	3	16	0	stay	scene	bottom	-1	-1	1	0.25	-1
388	20	3	17	0	stay	scene	top	-1	-1	1	0.563	-1
408	20	3	18	0	stay	scene	top	1	1	1	0.489	6
