onset	duration	#	type	cat	block	trial	p2ans	p3ans	ansType	resp	conf	acc	rt
n/a	n/a	1	switch	scene	6	9	-1	-1	OLD	-3	OLD+	1	2.53
n/a	n/a	2	stay	scene	4	8	-1	-1	OLD	3	NEW+	0	1.72
n/a	n/a	3	new	scene	0	0	0	1	NEW	2	new-	1	2.39
n/a	n/a	4	stay	scene	6	1	-1	-1	OLD	-3	OLD+	1	1.41
n/a	n/a	5	new	scene	0	0	0	1	NEW	3	NEW+	1	1.69
n/a	n/a	6	switch	scene	2	10	-1	-1	OLD	2	new-	0	2.03
n/a	n/a	7	new	scene	0	0	0	1	NEW	2	new-	1	2.56
n/a	n/a	8	new	scene	0	0	0	1	NEW	2	new-	1	2.85
n/a	n/a	9	switch	scene	5	12	-1	-1	OLD	2	new-	0	2.87
n/a	n/a	10	new	scene	0	0	0	1	NEW	2	new-	1	2.55
n/a	n/a	11	new	scene	0	0	0	1	NEW	2	new-	1	2.92
n/a	n/a	12	switch	scene	4	6	1	-1	OLD	2	new-	0	2.81
n/a	n/a	13	switch	scene	6	8	-1	-1	OLD	3	NEW+	0	3.04
n/a	n/a	14	stay	scene	1	16	-1	-1	OLD	-2	old-	1	2.64
n/a	n/a	15	switch	scene	2	12	1	-1	OLD	2	new-	0	1.61
n/a	n/a	16	switch	scene	1	17	1	-1	OLD	-3	OLD+	1	2.21
n/a	n/a	17	switch	scene	3	6	1	-1	OLD	-3	OLD+	1	2.24
n/a	n/a	18	stay	scene	2	4	-1	-1	OLD	-2	old-	1	3.05
n/a	n/a	19	stay	scene	6	13	-1	-1	OLD	-2	old-	1	3.51
n/a	n/a	20	new	scene	0	0	0	1	NEW	2	new-	1	1.25
n/a	n/a	21	new	scene	0	0	0	1	NEW	2	new-	1	2.88
n/a	n/a	22	new	scene	0	0	0	1	NEW	3	NEW+	1	2.23
n/a	n/a	23	stay	scene	6	6	-1	-1	OLD	2	new-	0	3.27
n/a	n/a	24	new	scene	0	0	0	1	NEW	-2	old-	0	4.2
n/a	n/a	25	stay	scene	3	18	-1	-1	OLD	2	new-	0	2.02
n/a	n/a	26	switch	scene	6	14	1	-1	OLD	2	new-	0	2.95
n/a	n/a	27	switch	scene	2	9	1	-1	OLD	-2	old-	1	4.87
n/a	n/a	28	stay	scene	5	16	-1	-1	OLD	-3	OLD+	1	1.31
n/a	n/a	29	switch	scene	1	3	1	-1	OLD	-3	OLD+	1	2.11
n/a	n/a	30	new	scene	0	0	0	1	NEW	2	new-	1	4.37
n/a	n/a	31	stay	scene	4	5	-1	-1	OLD	-3	OLD+	1	1.51
n/a	n/a	32	new	scene	0	0	0	1	NEW	3	NEW+	1	1.44
n/a	n/a	33	stay	scene	1	9	-1	-1	OLD	-3	OLD+	1	1.78
n/a	n/a	34	new	scene	0	0	0	1	NEW	2	new-	1	1.7
n/a	n/a	35	stay	scene	1	6	-1	-1	OLD	-2	old-	1	6.53
n/a	n/a	36	new	scene	0	0	0	1	NEW	3	NEW+	1	2.25
n/a	n/a	37	stay	scene	2	1	-1	-1	OLD	-3	OLD+	1	1.94
n/a	n/a	38	switch	scene	6	2	1	-1	OLD	-3	OLD+	1	1.05
n/a	n/a	39	stay	scene	2	18	-1	-1	OLD	-2	old-	1	2.81
n/a	n/a	40	new	scene	0	0	0	1	NEW	3	NEW+	1	3.54
n/a	n/a	41	new	scene	0	0	0	1	NEW	2	new-	1	2.83
n/a	n/a	42	switch	scene	1	14	-1	-1	OLD	-3	OLD+	1	1.71
n/a	n/a	43	new	scene	0	0	0	1	NEW	2	new-	1	1.82
n/a	n/a	44	new	scene	0	0	0	1	NEW	-2	old-	0	4.13
n/a	n/a	45	new	scene	0	0	0	1	NEW	2	new-	1	1.82
n/a	n/a	46	new	scene	0	0	0	1	NEW	-2	old-	0	1.92
n/a	n/a	47	stay	scene	4	9	-1	-1	OLD	2	new-	0	1.95
n/a	n/a	48	new	scene	0	0	0	1	NEW	-3	OLD+	0	1.58
n/a	n/a	49	new	scene	0	0	0	1	NEW	-2	old-	0	2.4
n/a	n/a	50	new	scene	0	0	0	1	NEW	3	NEW+	1	3.14
n/a	n/a	51	stay	scene	6	7	-1	-1	OLD	-3	OLD+	1	1.33
n/a	n/a	52	new	scene	0	0	0	1	NEW	-2	old-	0	2.35
n/a	n/a	53	new	scene	0	0	0	1	NEW	-2	old-	0	5.66
n/a	n/a	54	switch	scene	5	11	1	-1	OLD	-3	OLD+	1	2.66
n/a	n/a	55	new	scene	0	0	0	1	NEW	-2	old-	0	1.84
n/a	n/a	56	new	scene	0	0	0	1	NEW	2	new-	1	0.99
n/a	n/a	57	new	scene	0	0	0	1	NEW	3	NEW+	1	1.31
n/a	n/a	58	switch	scene	3	14	-1	-1	OLD	-2	old-	1	2.27
n/a	n/a	59	new	scene	0	0	0	1	NEW	2	new-	1	1.87
n/a	n/a	60	switch	scene	6	16	-1	-1	OLD	-2	old-	1	2.77
n/a	n/a	61	new	scene	0	0	0	1	NEW	2	new-	1	4.75
n/a	n/a	62	new	scene	0	0	0	1	NEW	3	NEW+	1	2.56
n/a	n/a	63	switch	scene	3	11	1	-1	OLD	-2	old-	1	5.3
n/a	n/a	64	switch	scene	3	15	-1	-1	OLD	2	new-	0	5.02
n/a	n/a	65	new	scene	0	0	0	1	NEW	2	new-	1	2.22
n/a	n/a	66	new	scene	0	0	0	1	NEW	3	NEW+	1	3.13
n/a	n/a	67	switch	scene	4	1	-1	-1	OLD	-3	OLD+	1	4.1
