onset	duration	#	type	cat	block	trial	p2ans	p3ans	ansType	resp	conf	acc	rt
n/a	n/a	1	stay	scene	5	15	-1	-1	OLD	-3	OLD+	1	1.89
n/a	n/a	2	stay	scene	4	9	-1	-1	OLD	-3	OLD+	1	1.38
n/a	n/a	3	stay	scene	4	10	-1	-1	OLD	-3	OLD+	1	1.27
n/a	n/a	4	switch	scene	6	8	-1	-1	OLD	2	new-	0	3.42
n/a	n/a	5	switch	scene	5	8	-1	-1	OLD	-3	OLD+	1	1.58
n/a	n/a	6	switch	scene	4	7	-1	-1	OLD	-3	OLD+	1	1.01
n/a	n/a	7	new	scene	0	0	0	1	NEW	3	NEW+	1	2.24
n/a	n/a	8	new	scene	0	0	0	1	NEW	3	NEW+	1	1.4
n/a	n/a	9	new	scene	0	0	0	1	NEW	3	NEW+	1	1.2
n/a	n/a	10	new	scene	0	0	0	1	NEW	3	NEW+	1	0.96
n/a	n/a	11	stay	scene	5	1	-1	-1	OLD	-3	OLD+	1	0.93
n/a	n/a	12	stay	scene	6	12	-1	-1	OLD	-3	OLD+	1	1.01
n/a	n/a	13	new	scene	0	0	0	1	NEW	3	NEW+	1	1.28
n/a	n/a	14	new	scene	0	0	0	1	NEW	3	NEW+	1	1.55
n/a	n/a	15	new	scene	0	0	0	1	NEW	3	NEW+	1	1.54
n/a	n/a	16	stay	scene	6	7	-1	-1	OLD	-3	OLD+	1	1.18
n/a	n/a	17	switch	scene	6	10	-1	-1	OLD	-3	OLD+	1	1.8
n/a	n/a	18	new	scene	0	0	0	1	NEW	3	NEW+	1	1.98
n/a	n/a	19	switch	scene	1	9	1	-1	OLD	-3	OLD+	1	1.09
n/a	n/a	20	new	scene	0	0	0	1	NEW	-2	old-	0	3.4
n/a	n/a	21	new	scene	0	0	0	1	NEW	3	NEW+	1	1.49
n/a	n/a	22	new	scene	0	0	0	1	NEW	3	NEW+	1	1.39
n/a	n/a	23	switch	scene	4	1	-1	-1	OLD	-3	OLD+	1	1.15
n/a	n/a	24	new	scene	0	0	0	1	NEW	3	NEW+	1	1.93
n/a	n/a	25	new	scene	0	0	0	1	NEW	3	NEW+	1	0.95
n/a	n/a	26	stay	scene	2	5	-1	-1	OLD	-3	OLD+	1	1
n/a	n/a	27	switch	scene	5	16	-1	-1	OLD	-3	OLD+	1	1.05
n/a	n/a	28	stay	scene	3	11	-1	-1	OLD	-2	old-	1	3.18
n/a	n/a	29	new	scene	0	0	0	1	NEW	3	NEW+	1	3.72
n/a	n/a	30	switch	scene	2	11	1	-1	OLD	-3	OLD+	1	1.17
n/a	n/a	31	stay	scene	3	2	-1	-1	OLD	-3	OLD+	1	1.22
n/a	n/a	32	stay	scene	4	17	-1	-1	OLD	-3	OLD+	1	0.86
n/a	n/a	33	new	scene	0	0	0	1	NEW	3	NEW+	1	2.29
n/a	n/a	34	switch	scene	2	12	1	-1	OLD	-3	OLD+	1	0.85
n/a	n/a	35	stay	scene	3	12	-1	-1	OLD	-3	OLD+	1	1.42
n/a	n/a	36	new	scene	0	0	0	1	NEW	2	new-	1	2.26
n/a	n/a	37	new	scene	0	0	0	1	NEW	3	NEW+	1	1.92
n/a	n/a	38	stay	scene	2	15	-1	-1	OLD	-3	OLD+	1	0.82
n/a	n/a	39	stay	scene	6	4	-1	-1	OLD	-3	OLD+	1	0.96
n/a	n/a	40	new	scene	0	0	0	1	NEW	2	new-	1	3.16
n/a	n/a	41	switch	scene	5	2	-1	-1	OLD	-3	OLD+	1	1.27
n/a	n/a	42	switch	scene	6	13	1	-1	OLD	-3	OLD+	1	1.42
n/a	n/a	43	stay	scene	2	7	-1	-1	OLD	-3	OLD+	1	0.81
n/a	n/a	44	stay	scene	1	6	-1	-1	OLD	-3	OLD+	1	1.23
n/a	n/a	45	new	scene	0	0	0	1	NEW	3	NEW+	1	1.71
n/a	n/a	46	switch	scene	5	6	1	-1	OLD	-3	OLD+	1	0.97
n/a	n/a	47	switch	scene	1	11	-1	-1	OLD	-3	OLD+	1	1.39
n/a	n/a	48	new	scene	0	0	0	1	NEW	2	new-	1	2.04
n/a	n/a	49	stay	scene	5	3	-1	-1	OLD	2	new-	0	2.62
n/a	n/a	50	new	scene	0	0	0	1	NEW	3	NEW+	1	1.37
n/a	n/a	51	switch	scene	4	3	1	-1	OLD	-2	old-	1	3.4
n/a	n/a	52	new	scene	0	0	0	1	NEW	3	NEW+	1	1.43
n/a	n/a	53	new	scene	0	0	0	1	NEW	3	NEW+	1	1.19
n/a	n/a	54	stay	scene	1	1	-1	-1	OLD	3	NEW+	0	3.81
n/a	n/a	55	new	scene	0	0	0	1	NEW	3	NEW+	1	1.2
n/a	n/a	56	new	scene	0	0	0	1	NEW	-2	old-	0	3.61
n/a	n/a	57	new	scene	0	0	0	1	NEW	3	NEW+	1	1.82
n/a	n/a	58	new	scene	0	0	0	1	NEW	3	NEW+	1	1.33
n/a	n/a	59	new	scene	0	0	0	1	NEW	3	NEW+	1	0.97
n/a	n/a	60	switch	scene	1	15	-1	-1	OLD	-3	OLD+	1	3.19
n/a	n/a	61	new	scene	0	0	0	1	NEW	3	NEW+	1	1.91
n/a	n/a	62	switch	scene	4	4	1	-1	OLD	3	NEW+	0	2.21
n/a	n/a	63	stay	scene	1	10	-1	-1	OLD	-3	OLD+	1	1.47
n/a	n/a	64	new	scene	0	0	0	1	NEW	3	NEW+	1	1.01
n/a	n/a	65	new	scene	0	0	0	1	NEW	3	NEW+	1	0.99
n/a	n/a	66	new	scene	0	0	0	1	NEW	3	NEW+	1	1.72
n/a	n/a	67	stay	scene	1	8	-1	-1	OLD	2	new-	0	2.17
n/a	n/a	68	new	scene	0	0	0	1	NEW	3	NEW+	1	1.4
n/a	n/a	69	stay	scene	3	3	-1	-1	OLD	-3	OLD+	1	1.02
n/a	n/a	70	switch	scene	3	5	1	-1	OLD	-2	old-	1	2.69
n/a	n/a	71	stay	scene	6	14	-1	-1	OLD	-2	old-	1	4.27
n/a	n/a	72	new	scene	0	0	0	1	NEW	3	NEW+	1	1.45
n/a	n/a	73	stay	scene	5	7	-1	-1	OLD	-3	OLD+	1	1.06
n/a	n/a	74	switch	scene	4	18	1	-1	OLD	-3	OLD+	1	0.96
n/a	n/a	75	new	scene	0	0	0	1	NEW	3	NEW+	1	2.1
n/a	n/a	76	switch	scene	1	2	-1	-1	OLD	3	NEW+	0	1.78
n/a	n/a	77	new	scene	0	0	0	1	NEW	-3	OLD+	0	1.4
n/a	n/a	78	new	scene	0	0	0	1	NEW	3	NEW+	1	1.75
n/a	n/a	79	switch	scene	3	8	-1	-1	OLD	3	NEW+	0	1.66
n/a	n/a	80	new	scene	0	0	0	1	NEW	3	NEW+	1	1.8
n/a	n/a	81	stay	scene	6	9	-1	-1	OLD	3	NEW+	0	1.8
n/a	n/a	82	new	scene	0	0	0	1	NEW	3	NEW+	1	2.01
n/a	n/a	83	stay	scene	2	14	-1	-1	OLD	-2	old-	1	3.49
n/a	n/a	84	new	scene	0	0	0	1	NEW	3	NEW+	1	0.98
n/a	n/a	85	new	scene	0	0	0	1	NEW	3	NEW+	1	1.62
n/a	n/a	86	switch	scene	2	10	-1	-1	OLD	-3	OLD+	1	1.07
n/a	n/a	87	new	scene	0	0	0	1	NEW	3	NEW+	1	1.49
n/a	n/a	88	new	scene	0	0	0	1	NEW	3	NEW+	1	1.54
n/a	n/a	89	new	scene	0	0	0	1	NEW	3	NEW+	1	1.49
n/a	n/a	90	switch	scene	3	13	-1	-1	OLD	-3	OLD+	1	1.14
n/a	n/a	91	stay	scene	2	6	-1	-1	OLD	-3	OLD+	1	0.78
n/a	n/a	92	new	scene	0	0	0	1	NEW	2	new-	1	5.24
n/a	n/a	93	switch	scene	3	17	-1	-1	OLD	-3	OLD+	1	1.1
n/a	n/a	94	new	scene	0	0	0	1	NEW	3	NEW+	1	2.63
n/a	n/a	95	new	scene	0	0	0	1	NEW	3	NEW+	1	1.29
n/a	n/a	96	new	scene	0	0	0	1	NEW	3	NEW+	1	1.71
n/a	n/a	97	new	scene	0	0	0	1	NEW	-2	old-	0	3.26
n/a	n/a	98	stay	scene	5	4	-1	-1	OLD	-3	OLD+	1	0.94
n/a	n/a	99	stay	scene	2	18	-1	-1	OLD	-3	OLD+	1	1
n/a	n/a	100	new	scene	0	0	0	1	NEW	2	new-	1	2.14
n/a	n/a	101	stay	scene	3	7	-1	-1	OLD	-2	old-	1	5.97
n/a	n/a	102	new	scene	0	0	0	1	NEW	-2	old-	0	2.19
n/a	n/a	103	new	scene	0	0	0	1	NEW	3	NEW+	1	1.83
n/a	n/a	104	new	scene	0	0	0	1	NEW	3	NEW+	1	1.3
n/a	n/a	105	switch	scene	6	17	1	-1	OLD	-3	OLD+	1	1.19
n/a	n/a	106	stay	scene	4	2	-1	-1	OLD	-3	OLD+	1	1.26
n/a	n/a	107	new	scene	0	0	0	1	NEW	3	NEW+	1	1.14
n/a	n/a	108	new	scene	0	0	0	1	NEW	3	NEW+	1	1.01
n/a	n/a	109	new	scene	0	0	0	1	NEW	3	NEW+	1	2.92
n/a	n/a	110	switch	scene	1	14	1	-1	OLD	-3	OLD+	1	0.85
n/a	n/a	111	new	scene	0	0	0	1	NEW	3	NEW+	1	1.79
n/a	n/a	112	new	scene	0	0	0	1	NEW	3	NEW+	1	1.2
n/a	n/a	113	new	scene	0	0	0	1	NEW	3	NEW+	1	1.21
n/a	n/a	114	new	scene	0	0	0	1	NEW	3	NEW+	1	0.95
n/a	n/a	115	new	scene	0	0	0	1	NEW	3	NEW+	1	1.03
n/a	n/a	116	switch	scene	6	2	1	-1	OLD	-3	OLD+	1	2.04
n/a	n/a	117	new	scene	0	0	0	1	NEW	3	NEW+	1	1.07
n/a	n/a	118	switch	scene	5	12	1	-1	OLD	3	NEW+	0	2.14
n/a	n/a	119	switch	scene	4	12	-1	-1	OLD	3	NEW+	0	1.2
n/a	n/a	120	stay	scene	1	3	-1	-1	OLD	3	NEW+	0	2.39
n/a	n/a	121	new	scene	0	0	0	1	NEW	3	NEW+	1	1.99
n/a	n/a	122	new	scene	0	0	0	1	NEW	3	NEW+	1	1.43
n/a	n/a	123	switch	scene	2	4	-1	-1	OLD	3	NEW+	0	1.3
n/a	n/a	124	new	scene	0	0	0	1	NEW	3	NEW+	1	1.49
n/a	n/a	125	stay	scene	3	18	-1	-1	OLD	-3	OLD+	1	1.1
n/a	n/a	126	switch	scene	6	3	-1	-1	OLD	-3	OLD+	1	0.77
n/a	n/a	127	switch	scene	2	1	-1	-1	OLD	3	NEW+	0	1.21
n/a	n/a	128	new	scene	0	0	0	1	NEW	3	NEW+	1	1.62
n/a	n/a	129	new	scene	0	0	0	1	NEW	2	new-	1	2.47
n/a	n/a	130	new	scene	0	0	0	1	NEW	3	NEW+	1	1.03
n/a	n/a	131	stay	scene	6	15	-1	-1	OLD	3	NEW+	0	1.43
n/a	n/a	132	stay	scene	4	16	-1	-1	OLD	-3	OLD+	1	1.48
n/a	n/a	133	switch	scene	2	16	1	-1	OLD	3	NEW+	0	1.35
n/a	n/a	134	stay	scene	5	9	-1	-1	OLD	3	NEW+	0	1.27
n/a	n/a	135	new	scene	0	0	0	1	NEW	3	NEW+	1	0.96
n/a	n/a	136	new	scene	0	0	0	1	NEW	3	NEW+	1	1.92
n/a	n/a	137	stay	scene	1	18	-1	-1	OLD	-3	OLD+	1	1.49
n/a	n/a	138	new	scene	0	0	0	1	NEW	3	NEW+	1	2.12
