onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	20	3	1	0	stay	scene	bottom	1	1	1	0.215	4
40	20	3	2	0	stay	scene	top	1	1	1	0.439	6
60	28	3	3	0	switch	scene	top	-1	-1	1	0.446	-1
88	20	3	4	0	stay	scene	top	-1	-1	1	0.598	-1
108	20	3	5	0	stay	scene	top	-1	-1	1	0.47	-1
128	28	3	6	0	switch	scene	bottom	1	1	1	0.485	6
156	20	3	7	0	stay	scene	top	1	1	1	0.509	6
176	20	3	8	0	stay	scene	bottom	-1	1	0	0.437	-1
196	28	3	9	0	switch	scene	bottom	1	1	1	0.412	5
224	20	3	10	0	stay	scene	bottom	-1	1	0	0.364	-1
244	28	3	11	0	switch	scene	top	-1	-1	1	0.419	-1
272	20	3	12	0	stay	scene	bottom	1	1	1	0.324	4
292	28	3	13	0	switch	scene	bottom	1	1	1	0.443	4
320	20	3	14	0	stay	scene	top	1	1	1	0.491	4
340	28	3	15	0	switch	scene	top	-1	-1	1	0.426	-1
368	20	3	16	0	stay	scene	bottom	1	1	1	0.418	6
388	20	3	17	0	stay	scene	bottom	-1	-1	1	0.386	-1
408	20	3	18	0	stay	scene	top	-1	1	0	0.482	-1
