onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	2	1	0	scenes	-1	-1	1	0.439	-1
36	16	2	2	0	scenes	1	1	1	0.384	5
52	16	2	3	0	faces	-1	-1	1	0.591	-1
68	16	2	4	0	faces	1	-1	0	0.383	4
84	16	2	5	0	faces	-1	1	0	0.381	-1
100	16	2	6	0	scenes	-1	-1	1	0.607	-1
116	16	2	7	0	faces	-1	-1	1	0.389	-1
132	16	2	8	0	scenes	1	1	1	0.093	3
148	16	2	9	0	faces	1	1	1	0.397	4
164	16	2	10	0	scenes	-1	-1	1	0.414	-1
180	16	2	11	0	scenes	1	1	1	0.381	5
196	16	2	12	0	scenes	1	1	1	0.396	5
212	16	2	13	0	faces	-1	-1	1	0.42	-1
228	16	2	14	0	faces	1	-1	0	0.587	3
244	16	2	15	0	scenes	-1	1	0	0.395	-1
260	16	2	16	0	faces	-1	-1	1	0.436	-1
276	16	2	17	0	faces	1	1	1	0.386	6
292	16	2	18	0	faces	1	-1	0	0.579	5
308	16	2	19	0	scenes	-1	-1	1	0.506	-1
324	16	2	20	0	scenes	1	1	1	0.45	4
