onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	1	1	0	faces	-1	0	0	0	-1
36	16	1	2	0	scenes	-1	-1	1	0.567	-1
52	16	1	3	0	faces	1	-1	0	0.535	3
68	16	1	4	0	scenes	-1	-1	1	0.478	-1
84	16	1	5	0	scenes	1	1	1	0.15	5
100	16	1	6	0	faces	1	-1	0	0.486	6
116	16	1	7	0	scenes	-1	-1	1	0.381	-1
132	16	1	8	0	scenes	1	-1	0	0.437	5
148	16	1	9	0	scenes	1	1	1	0.308	4
164	16	1	10	0	faces	1	1	1	0.333	4
180	16	1	11	0	faces	-1	-1	1	0.373	-1
196	16	1	12	0	faces	-1	-1	1	0.38	-1
212	16	1	13	0	faces	1	1	1	0.179	4
228	16	1	14	0	scenes	1	1	1	0.348	5
244	16	1	15	0	faces	-1	-1	1	0.531	-1
260	16	1	16	0	faces	1	1	1	0.378	3
276	16	1	17	0	scenes	1	1	1	0.139	4
292	16	1	18	0	scenes	1	1	1	0.402	4
308	16	1	19	0	scenes	-1	-1	1	0.49	-1
324	16	1	20	0	faces	1	1	1	0.257	5
