onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	4	1	0	faces	-1	-1	1	0.456	-1
36	16	4	2	0	faces	-1	-1	1	0.511	-1
52	16	4	3	0	scenes	-1	-1	1	0.614	-1
68	16	4	4	0	faces	-1	-1	1	0.423	-1
84	16	4	5	0	scenes	-1	-1	1	0.599	-1
100	16	4	6	0	faces	1	1	1	0.406	5
116	16	4	7	0	scenes	-1	1	0	0.421	-1
132	16	4	8	0	scenes	-1	-1	1	0.429	-1
148	16	4	9	0	scenes	1	1	1	0.446	4
164	16	4	10	0	scenes	-1	-1	1	0.438	-1
180	16	4	11	0	scenes	-1	-1	1	0.414	-1
196	16	4	12	0	faces	-1	-1	1	0.428	-1
212	16	4	13	0	faces	1	-1	0	0.596	3
228	16	4	14	0	faces	1	-1	0	0.517	5
244	16	4	15	0	scenes	1	1	1	0.388	5
260	16	4	16	0	faces	-1	-1	1	0.428	-1
276	16	4	17	0	scenes	1	1	1	0.347	4
292	16	4	18	0	faces	-1	-1	1	0.427	-1
308	16	4	19	0	faces	-1	-1	1	0.451	-1
324	16	4	20	0	scenes	-1	-1	1	0.563	-1
