onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	3	1	0	scenes	1	1	1	0.4	6
36	16	3	2	0	faces	1	1	1	0.431	6
52	16	3	3	0	faces	-1	-1	1	0.455	-1
68	16	3	4	0	faces	1	1	1	0.463	6
84	16	3	5	0	faces	1	1	1	0.438	6
100	16	3	6	0	scenes	1	1	1	0.262	5
116	16	3	7	0	faces	-1	1	0	0.606	-1
132	16	3	8	0	scenes	-1	1	0	0.397	-1
148	16	3	9	0	scenes	-1	-1	1	0.453	-1
164	16	3	10	0	scenes	-1	-1	1	0.525	-1
180	16	3	11	0	scenes	1	1	1	0.404	4
196	16	3	12	0	faces	1	1	1	0.42	5
212	16	3	13	0	faces	1	1	1	0.459	4
228	16	3	14	0	scenes	1	1	1	0.459	6
244	16	3	15	0	scenes	-1	-1	1	0.538	-1
260	16	3	16	0	scenes	1	1	1	0.37	5
276	16	3	17	0	scenes	1	1	1	0.419	5
292	16	3	18	0	faces	1	1	1	0.419	5
308	16	3	19	0	faces	-1	-1	1	0.426	-1
324	16	3	20	0	faces	-1	-1	1	0.466	-1
