onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	2	1	0	scenes	1	1	1	0.456	5
36	16	2	2	0	faces	1	1	1	0.439	5
52	16	2	3	0	faces	1	1	1	0.462	3
68	16	2	4	0	faces	1	1	1	0.414	3
84	16	2	5	0	faces	-1	-1	1	0.39	-1
100	16	2	6	0	faces	-1	-1	1	0.47	-1
116	16	2	7	0	scenes	-1	-1	1	0.47	-1
132	16	2	8	0	faces	-1	-1	1	0.525	-1
148	16	2	9	0	faces	1	1	1	0.429	4
164	16	2	10	0	scenes	1	1	1	0.413	3
180	16	2	11	0	scenes	-1	-1	1	0.477	-1
196	16	2	12	0	faces	-1	-1	1	0.501	-1
212	16	2	13	0	scenes	-1	1	0	0.436	-1
228	16	2	14	0	scenes	-1	-1	1	0.468	-1
244	16	2	15	0	scenes	1	1	1	0.475	5
260	16	2	16	0	scenes	-1	1	0	0.683	-1
276	16	2	17	0	faces	-1	-1	1	0.332	-1
292	16	2	18	0	scenes	1	1	1	0.419	3
308	16	2	19	0	scenes	-1	-1	1	0.49	-1
324	16	2	20	0	faces	-1	-1	1	0.434	-1
