onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	20	1	1	0	stay	scene	top	-1	-1	1	0.405	-1
40	28	1	2	0	switch	scene	bottom	1	1	1	0.427	4
68	28	1	3	0	switch	scene	top	-1	-1	1	0.262	-1
96	20	1	4	0	stay	scene	top	-1	-1	1	0.441	-1
116	28	1	5	0	switch	scene	bottom	1	1	1	0.391	4
144	28	1	6	0	switch	scene	top	-1	-1	1	0.393	-1
172	20	1	7	0	stay	scene	top	1	-1	0	0.576	3
192	20	1	8	0	stay	scene	top	1	1	1	0.544	6
212	28	1	9	0	switch	scene	top	-1	-1	1	0.488	-1
240	20	1	10	0	stay	scene	bottom	1	-1	0	0.392	3
260	20	1	11	0	stay	scene	bottom	-1	-1	1	0.424	-1
280	20	1	12	0	stay	scene	bottom	-1	-1	1	0.464	-1
300	20	1	13	0	stay	scene	bottom	1	1	1	0.599	6
320	20	1	14	0	stay	scene	bottom	1	1	1	0.406	4
340	28	1	15	0	switch	scene	bottom	1	1	1	0.685	3
368	20	1	16	0	stay	scene	top	1	1	1	0.341	4
388	20	1	17	0	stay	scene	top	-1	-1	1	0.302	-1
408	20	1	18	0	stay	scene	bottom	-1	1	0	0.429	-1
