onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	2	1	0	faces	1	1	1	0.319	6
36	16	2	2	0	faces	1	1	1	0.375	3
52	16	2	3	0	faces	-1	-1	1	0.358	-1
68	16	2	4	0	scenes	-1	-1	1	0.398	-1
84	16	2	5	0	scenes	1	1	1	0.334	3
100	16	2	6	0	faces	-1	-1	1	0.334	-1
116	16	2	7	0	scenes	1	1	1	0.422	6
132	16	2	8	0	scenes	-1	-1	1	0.381	-1
148	16	2	9	0	scenes	1	1	1	0.3	3
164	16	2	10	0	scenes	-1	-1	1	0.364	-1
180	16	2	11	0	scenes	-1	-1	1	0.387	-1
196	16	2	12	0	scenes	1	1	1	0.395	6
212	16	2	13	0	scenes	-1	-1	1	0.388	-1
228	16	2	14	0	scenes	1	1	1	0.348	3
244	16	2	15	0	faces	-1	-1	1	0.371	-1
260	16	2	16	0	faces	1	1	1	0.339	3
276	16	2	17	0	faces	1	1	1	0.379	6
292	16	2	18	0	faces	-1	-1	1	0.467	-1
308	16	2	19	0	faces	-1	-1	1	0.489	-1
324	16	2	20	0	faces	1	1	1	0.346	4
