onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	28	5	1	0	switch	scene	bottom	1	1	1	0.335	4
48	28	5	2	0	switch	scene	top	-1	-1	1	0.311	-1
76	28	5	3	0	switch	scene	top	-1	-1	1	0.344	-1
104	20	5	4	0	stay	scene	bottom	-1	-1	1	0.296	-1
124	28	5	5	0	switch	scene	bottom	1	1	1	0.341	5
152	20	5	6	0	stay	scene	top	1	1	1	0.328	4
172	28	5	7	0	switch	scene	top	-1	-1	1	0.334	-1
200	20	5	8	0	stay	scene	top	1	1	1	0.334	5
220	20	5	9	0	stay	scene	top	-1	-1	1	0.31	-1
240	20	5	10	0	stay	scene	bottom	1	1	1	0.349	3
260	28	5	11	0	switch	scene	bottom	1	1	1	0.332	6
288	20	5	12	0	stay	scene	bottom	-1	-1	1	0.292	-1
308	20	5	13	0	stay	scene	top	-1	-1	1	0.301	-1
328	20	5	14	0	stay	scene	top	1	1	1	0.348	6
348	20	5	15	0	stay	scene	bottom	-1	-1	1	0.396	-1
368	20	5	16	0	stay	scene	bottom	1	1	1	0.267	6
388	20	5	17	0	stay	scene	top	-1	-1	1	0.554	-1
408	20	5	18	0	stay	scene	bottom	1	1	1	0.275	5
