onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	28	5	1	0	switch	scene	bottom	1	1	1	0.429	6
48	20	5	2	0	stay	scene	top	1	1	1	0.263	4
68	20	5	3	0	stay	scene	top	1	1	1	0.269	3
88	20	5	4	0	stay	scene	bottom	-1	-1	1	0.437	-1
108	20	5	5	0	stay	scene	bottom	1	-1	0	0.277	4
128	20	5	6	0	stay	scene	bottom	1	1	1	0.389	5
148	28	5	7	0	switch	scene	top	-1	-1	1	0.26	-1
176	20	5	8	0	stay	scene	bottom	-1	1	0	0.533	-1
196	20	5	9	0	stay	scene	top	-1	-1	1	0.461	-1
216	28	5	10	0	switch	scene	top	-1	-1	1	0.147	-1
244	20	5	11	0	stay	scene	top	-1	-1	1	0.331	-1
264	28	5	12	0	switch	scene	bottom	1	-1	0	0.314	6
292	20	5	13	0	stay	scene	bottom	1	1	1	0.402	4
312	20	5	14	0	stay	scene	top	-1	1	0	0.218	-1
332	20	5	15	0	stay	scene	bottom	-1	1	0	0.666	-1
352	28	5	16	0	switch	scene	bottom	1	-1	0	0.729	6
380	20	5	17	0	stay	scene	top	1	1	1	0.298	6
400	28	5	18	0	switch	scene	top	-1	-1	1	0.368	-1
