onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	20	6	1	0	stay	scene	bottom	-1	1	0	0.704	-1
40	28	6	2	0	switch	scene	top	1	-1	0	0.487	3
68	20	6	3	0	stay	scene	bottom	-1	1	0	0.328	-1
88	20	6	4	0	stay	scene	bottom	1	1	1	0.295	4
108	28	6	5	0	switch	scene	bottom	-1	1	0	0.142	-1
136	20	6	6	0	stay	scene	top	-1	-1	1	0.446	-1
156	20	6	7	0	stay	scene	bottom	-1	-1	1	0.302	-1
176	20	6	8	0	stay	scene	top	-1	-1	1	0.414	-1
196	20	6	9	0	stay	scene	top	1	0	0	0	3
216	28	6	10	0	switch	scene	top	1	1	1	0.221	3
244	20	6	11	0	stay	scene	top	1	1	1	0.003	6
264	20	6	12	0	stay	scene	top	1	1	1	0.389	3
284	20	6	13	0	stay	scene	bottom	1	1	1	0.364	3
304	28	6	14	0	switch	scene	top	1	-1	0	0.331	4
332	20	6	15	0	stay	scene	bottom	1	1	1	0.379	4
352	28	6	16	0	switch	scene	bottom	-1	-1	1	0.379	-1
380	28	6	17	0	switch	scene	bottom	-1	-1	1	0.347	-1
408	20	6	18	0	stay	scene	top	-1	1	0	0.506	-1
