onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	2	1	0	faces	-1	-1	1	0.806	-1
36	16	2	2	0	faces	-1	-1	1	0.334	-1
52	16	2	3	0	scenes	-1	1	0	0.495	-1
68	16	2	4	0	scenes	-1	1	0	0.077	-1
84	16	2	5	0	faces	-1	-1	1	0.302	-1
100	16	2	6	0	faces	-1	1	0	0.269	-1
116	16	2	7	0	scenes	-1	-1	1	0.325	-1
132	16	2	8	0	scenes	-1	-1	1	0.324	-1
148	16	2	9	0	faces	1	1	1	0.332	5
164	16	2	10	0	scenes	-1	-1	1	0.291	-1
180	16	2	11	0	scenes	-1	1	0	0.468	-1
196	16	2	12	0	faces	-1	1	0	0.356	-1
212	16	2	13	0	scenes	1	1	1	0.276	5
228	16	2	14	0	scenes	1	1	1	0.33	5
244	16	2	15	0	scenes	1	1	1	0.25	3
260	16	2	16	0	scenes	-1	-1	1	0.282	-1
276	16	2	17	0	faces	1	1	1	0.298	5
292	16	2	18	0	faces	1	1	1	0.297	5
308	16	2	19	0	faces	-1	1	0	0.466	-1
324	16	2	20	0	faces	-1	1	0	0.584	-1
