onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	20	1	1	0	stay	scene	bottom	-1	-1	1	0.434	-1
40	20	1	2	0	stay	scene	top	-1	-1	1	0.705	-1
60	20	1	3	0	stay	scene	top	1	1	1	0.473	5
80	28	1	4	0	switch	scene	bottom	1	1	1	0.145	6
108	28	1	5	0	switch	scene	top	-1	-1	1	0.437	-1
136	28	1	6	0	switch	scene	top	-1	-1	1	0.352	-1
164	20	1	7	0	stay	scene	bottom	-1	-1	1	0.296	-1
184	28	1	8	0	switch	scene	bottom	1	1	1	0.287	4
212	20	1	9	0	stay	scene	bottom	1	1	1	0.398	5
232	20	1	10	0	stay	scene	bottom	-1	1	0	0.326	-1
252	20	1	11	0	stay	scene	bottom	1	1	1	0.254	6
272	20	1	12	0	stay	scene	bottom	1	1	1	0.502	6
292	20	1	13	0	stay	scene	top	-1	-1	1	0.35	-1
312	20	1	14	0	stay	scene	top	-1	-1	1	0.749	-1
332	20	1	15	0	stay	scene	top	1	-1	0	0.365	3
352	28	1	16	0	switch	scene	top	-1	-1	1	0.14	-1
380	28	1	17	0	switch	scene	bottom	1	0	0	0	3
408	20	1	18	0	stay	scene	top	1	1	1	0.388	6
