onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	3	1	0	scenes	1	1	1	0.312	3
36	16	3	2	0	faces	1	1	1	0.143	3
52	16	3	3	0	faces	-1	1	0	0.431	-1
68	16	3	4	0	faces	1	1	1	0.399	3
84	16	3	5	0	scenes	1	-1	0	0.591	6
100	16	3	6	0	scenes	1	1	1	0.27	3
116	16	3	7	0	scenes	1	1	1	0.437	6
132	16	3	8	0	faces	-1	-1	1	0.421	-1
148	16	3	9	0	scenes	-1	-1	1	0.565	-1
164	16	3	10	0	scenes	-1	-1	1	0.34	-1
180	16	3	11	0	scenes	-1	-1	1	0.277	-1
196	16	3	12	0	faces	1	1	1	0.397	4
212	16	3	13	0	faces	-1	-1	1	0.308	-1
228	16	3	14	0	scenes	-1	-1	1	0.388	-1
244	16	3	15	0	faces	1	1	1	0.26	4
260	16	3	16	0	faces	1	1	1	0.267	4
276	16	3	17	0	scenes	-1	-1	1	0.596	-1
292	16	3	18	0	faces	-1	1	0	0.083	-1
308	16	3	19	0	scenes	1	1	1	0.37	4
324	16	3	20	0	faces	-1	-1	1	0.377	-1
