onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	20	4	1	0	stay	scene	bottom	-1	-1	1	0.743	-1
40	20	4	2	0	stay	scene	bottom	1	1	1	0.342	4
60	28	4	3	0	switch	scene	top	1	1	1	0.157	4
88	20	4	4	0	stay	scene	top	1	-1	0	0.302	4
108	20	4	5	0	stay	scene	top	1	1	1	0.181	6
128	28	4	6	0	switch	scene	bottom	-1	-1	1	0.324	-1
156	20	4	7	0	stay	scene	top	1	1	1	0.389	6
176	28	4	8	0	switch	scene	top	1	1	1	0.3	4
204	28	4	9	0	switch	scene	top	1	1	1	0.261	4
232	20	4	10	0	stay	scene	top	-1	-1	1	0.252	-1
252	28	4	11	0	switch	scene	bottom	-1	-1	1	0.211	-1
280	28	4	12	0	switch	scene	bottom	-1	-1	1	0.33	-1
308	20	4	13	0	stay	scene	top	-1	-1	1	0.29	-1
328	20	4	14	0	stay	scene	bottom	-1	-1	1	0.322	-1
348	20	4	15	0	stay	scene	bottom	-1	-1	1	0.219	-1
368	20	4	16	0	stay	scene	bottom	1	1	1	0.346	5
388	20	4	17	0	stay	scene	bottom	1	1	1	0.225	4
408	20	4	18	0	stay	scene	top	-1	1	0	0.386	-1
