onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	20	4	1	0	stay	scene	bottom	1	1	1	0.247	6
40	20	4	2	0	stay	scene	bottom	1	1	1	0.742	6
60	20	4	3	0	stay	scene	bottom	-1	-1	1	0.527	-1
80	28	4	4	0	switch	scene	bottom	-1	1	0	0.423	-1
108	20	4	5	0	stay	scene	top	1	1	1	0.398	6
128	20	4	6	0	stay	scene	top	1	1	1	0.003	3
148	20	4	7	0	stay	scene	top	-1	-1	1	0.75	-1
168	20	4	8	0	stay	scene	bottom	-1	-1	1	0.351	-1
188	20	4	9	0	stay	scene	bottom	-1	-1	1	0.301	-1
208	28	4	10	0	switch	scene	top	1	1	1	0.3	4
236	20	4	11	0	stay	scene	top	-1	-1	1	0.629	-1
256	20	4	12	0	stay	scene	bottom	1	1	1	0.286	3
276	28	4	13	0	switch	scene	bottom	-1	-1	1	0.301	-1
304	28	4	14	0	switch	scene	top	1	1	1	0.06	5
332	28	4	15	0	switch	scene	bottom	-1	-1	1	0.325	-1
360	28	4	16	0	switch	scene	top	1	1	1	0.243	5
388	20	4	17	0	stay	scene	top	1	1	1	0.372	5
408	20	4	18	0	stay	scene	top	-1	-1	1	0.707	-1
