onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	1	1	0	faces	1	1	1	0.076	5
36	16	1	2	0	scenes	1	-1	0	0.604	4
52	16	1	3	0	scenes	1	1	1	0.332	5
68	16	1	4	0	faces	-1	-1	1	0.387	-1
84	16	1	5	0	faces	1	1	1	0.186	3
100	16	1	6	0	scenes	-1	-1	1	0.322	-1
116	16	1	7	0	faces	-1	-1	1	0.211	-1
132	16	1	8	0	scenes	1	-1	0	0.242	4
148	16	1	9	0	faces	1	1	1	0.489	6
164	16	1	10	0	scenes	1	1	1	0.353	5
180	16	1	11	0	faces	1	1	1	0.313	6
196	16	1	12	0	scenes	-1	-1	1	0.369	-1
212	16	1	13	0	faces	1	1	1	0.208	4
228	16	1	14	0	faces	-1	-1	1	0.488	-1
244	16	1	15	0	scenes	-1	-1	1	0.351	-1
260	16	1	16	0	scenes	-1	-1	1	0.383	-1
276	16	1	17	0	faces	-1	-1	1	0.535	-1
292	16	1	18	0	faces	-1	-1	1	0.574	-1
308	16	1	19	0	scenes	-1	1	0	0.398	-1
324	16	1	20	0	scenes	1	-1	0	0.398	3
