onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	4	1	0	faces	-1	1	0	0.6	-1
36	16	4	2	0	scenes	1	1	1	0.399	5
52	16	4	3	0	faces	-1	-1	1	0.574	-1
68	16	4	4	0	faces	1	1	1	0.35	6
84	16	4	5	0	scenes	1	-1	0	0.719	6
100	16	4	6	0	faces	1	1	1	0.183	5
116	16	4	7	0	faces	-1	1	0	0.518	-1
132	16	4	8	0	faces	1	1	1	0.245	4
148	16	4	9	0	scenes	-1	-1	1	0.558	-1
164	16	4	10	0	faces	-1	1	0	0.34	-1
180	16	4	11	0	faces	1	1	1	0.205	5
196	16	4	12	0	scenes	1	-1	0	0.757	6
212	16	4	13	0	scenes	-1	0	0	0	-1
228	16	4	14	0	faces	1	-1	0	0.5	6
244	16	4	15	0	scenes	1	1	1	0.38	5
260	16	4	16	0	scenes	-1	-1	1	0.62	-1
276	16	4	17	0	scenes	-1	-1	1	0.419	-1
292	16	4	18	0	scenes	1	-1	0	0.499	3
308	16	4	19	0	faces	1	1	1	0.386	6
324	16	4	20	0	scenes	1	-1	0	0.642	3
