onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	20	2	1	0	stay	scene	top	-1	-1	1	0.56	-1
40	28	2	2	0	switch	scene	bottom	-1	-1	1	0.269	-1
68	20	2	3	0	stay	scene	top	-1	1	0	0.367	-1
88	28	2	4	0	switch	scene	top	1	1	1	0.27	5
116	20	2	5	0	stay	scene	top	1	-1	0	0.414	5
136	28	2	6	0	switch	scene	bottom	-1	1	0	0.197	-1
164	20	2	7	0	stay	scene	bottom	-1	1	0	0.326	-1
184	20	2	8	0	stay	scene	bottom	-1	1	0	0.685	-1
204	20	2	9	0	stay	scene	bottom	1	1	1	0.173	3
224	20	2	10	0	stay	scene	bottom	1	0	0	0	3
244	28	2	11	0	switch	scene	bottom	-1	-1	1	0.244	-1
272	28	2	12	0	switch	scene	top	1	1	1	0.052	4
300	20	2	13	0	stay	scene	top	1	1	1	0.332	6
320	28	2	14	0	switch	scene	top	1	1	1	0.195	6
348	20	2	15	0	stay	scene	bottom	-1	1	0	0.036	-1
368	20	2	16	0	stay	scene	top	-1	-1	1	0.692	-1
388	20	2	17	0	stay	scene	top	1	1	1	0.772	6
408	20	2	18	0	stay	scene	bottom	1	1	1	0.259	3
