onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	2	1	0	faces	-1	-1	1	0.399	-1
36	16	2	2	0	scenes	1	-1	0	0.246	3
52	16	2	3	0	scenes	-1	-1	1	0.326	-1
68	16	2	4	0	faces	1	1	1	0.485	6
84	16	2	5	0	faces	1	1	1	0.43	5
100	16	2	6	0	faces	-1	-1	1	0.141	-1
116	16	2	7	0	scenes	1	-1	0	0.414	6
132	16	2	8	0	faces	-1	-1	1	0.438	-1
148	16	2	9	0	scenes	-1	-1	1	0.541	-1
164	16	2	10	0	scenes	-1	-1	1	0.541	-1
180	16	2	11	0	faces	-1	-1	1	0.508	-1
196	16	2	12	0	scenes	-1	-1	1	0.5	-1
212	16	2	13	0	scenes	-1	-1	1	0.588	-1
228	16	2	14	0	scenes	1	1	1	0.299	4
244	16	2	15	0	faces	1	1	1	0.396	4
260	16	2	16	0	scenes	1	1	1	0.458	6
276	16	2	17	0	faces	-1	0	0	0	-1
292	16	2	18	0	scenes	-1	-1	1	0.257	-1
308	16	2	19	0	faces	1	1	1	0.041	3
324	16	2	20	0	faces	-1	-1	1	0.146	-1
