onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	20	1	1	0	stay	scene	bottom	1	1	1	0.345	6
40	20	1	2	0	stay	scene	top	-1	-1	1	0.335	-1
60	28	1	3	0	switch	scene	bottom	1	1	1	0.4	6
88	20	1	4	0	stay	scene	top	-1	1	0	0.056	-1
108	20	1	5	0	stay	scene	bottom	-1	-1	1	0.544	-1
128	28	1	6	0	switch	scene	top	-1	-1	1	0.331	-1
156	20	1	7	0	stay	scene	top	1	1	1	0.59	5
176	28	1	8	0	switch	scene	top	-1	-1	1	0.205	-1
204	20	1	9	0	stay	scene	top	1	1	1	0.302	5
224	20	1	10	0	stay	scene	bottom	-1	-1	1	0.285	-1
244	28	1	11	0	switch	scene	bottom	1	1	1	0.309	6
272	20	1	12	0	stay	scene	bottom	1	-1	0	0.636	4
292	20	1	13	0	stay	scene	bottom	-1	1	0	0.246	-1
312	20	1	14	0	stay	scene	bottom	1	1	1	0.205	3
332	20	1	15	0	stay	scene	top	-1	1	0	0.582	-1
352	20	1	16	0	stay	scene	top	1	1	1	0.412	4
372	28	1	17	0	switch	scene	bottom	1	-1	0	0.435	3
400	28	1	18	0	switch	scene	top	-1	-1	1	0.275	-1
