onset	duration	#	type	cat	block	trial	p2ans	p3ans	ansType	resp	conf	acc	rt
n/a	n/a	1	switch	scene	3	11	1	-1	OLD	2	new-	0	3.16
n/a	n/a	2	stay	scene	6	17	-1	-1	OLD	3	NEW+	0	1.82
n/a	n/a	3	new	scene	0	0	0	1	NEW	3	NEW+	1	1.34
n/a	n/a	4	new	scene	0	0	0	1	NEW	3	NEW+	1	1.82
n/a	n/a	5	new	scene	0	0	0	1	NEW	3	NEW+	1	1.52
n/a	n/a	6	new	scene	0	0	0	1	NEW	3	NEW+	1	1.21
n/a	n/a	7	new	scene	0	0	0	1	NEW	3	NEW+	1	1.53
n/a	n/a	8	stay	scene	4	16	-1	-1	OLD	2	new-	0	1.73
n/a	n/a	9	new	scene	0	0	0	1	NEW	2	new-	1	2.06
n/a	n/a	10	new	scene	0	0	0	1	NEW	2	new-	1	1.53
n/a	n/a	11	switch	scene	6	10	1	-1	OLD	-3	OLD+	1	1.52
n/a	n/a	12	new	scene	0	0	0	1	NEW	3	NEW+	1	1.07
n/a	n/a	13	new	scene	0	0	0	1	NEW	3	NEW+	1	1.03
n/a	n/a	14	stay	scene	4	5	-1	-1	OLD	-2	old-	1	1.55
n/a	n/a	15	switch	scene	6	2	1	-1	OLD	-3	OLD+	1	1.24
n/a	n/a	16	new	scene	0	0	0	1	NEW	2	new-	1	2.01
n/a	n/a	17	switch	scene	3	15	-1	-1	OLD	-3	OLD+	1	1.23
n/a	n/a	18	new	scene	0	0	0	1	NEW	3	NEW+	1	1.81
n/a	n/a	19	switch	scene	4	11	1	-1	OLD	3	NEW+	0	0.84
n/a	n/a	20	stay	scene	5	3	-1	-1	OLD	-3	OLD+	1	1.41
n/a	n/a	21	new	scene	0	0	0	1	NEW	2	new-	1	1.85
n/a	n/a	22	switch	scene	1	4	1	-1	OLD	-2	old-	1	1.69
n/a	n/a	23	new	scene	0	0	0	1	NEW	2	new-	1	1.28
n/a	n/a	24	switch	scene	2	7	1	-1	OLD	-3	OLD+	1	1.2
n/a	n/a	25	stay	scene	5	1	-1	-1	OLD	-2	old-	1	2.47
