onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	4	1	0	scenes	1	1	1	0.422	3
36	16	4	2	0	faces	1	1	1	0.431	5
52	16	4	3	0	scenes	1	1	1	0.382	4
68	16	4	4	0	scenes	1	1	1	0.341	5
84	16	4	5	0	faces	-1	-1	1	0.389	-1
100	16	4	6	0	faces	-1	-1	1	0.436	-1
116	16	4	7	0	faces	-1	-1	1	0.437	-1
132	16	4	8	0	faces	1	-1	0	0.572	4
148	16	4	9	0	scenes	-1	-1	1	0.42	-1
164	16	4	10	0	faces	1	1	1	0.348	4
180	16	4	11	0	scenes	1	1	1	0.531	5
196	16	4	12	0	scenes	-1	-1	1	0.483	-1
212	16	4	13	0	faces	1	1	1	0.458	3
228	16	4	14	0	faces	-1	-1	1	0.427	-1
244	16	4	15	0	faces	1	1	1	0.402	3
260	16	4	16	0	scenes	-1	-1	1	0.642	-1
276	16	4	17	0	scenes	1	1	1	0.489	5
292	16	4	18	0	faces	1	1	1	0.777	5
308	16	4	19	0	scenes	-1	-1	1	0.536	-1
324	16	4	20	0	scenes	1	1	1	0.488	4
