onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	3	1	0	scenes	1	1	1	0.423	6
36	16	3	2	0	faces	-1	-1	1	0.399	-1
52	16	3	3	0	faces	-1	-1	1	0.567	-1
68	16	3	4	0	scenes	1	1	1	0.526	4
84	16	3	5	0	faces	-1	-1	1	0.454	-1
100	16	3	6	0	scenes	-1	-1	1	0.43	-1
116	16	3	7	0	faces	1	1	1	0.461	5
132	16	3	8	0	faces	1	1	1	0.444	3
148	16	3	9	0	scenes	1	1	1	0.548	4
164	16	3	10	0	scenes	1	1	1	0.413	5
180	16	3	11	0	scenes	-1	-1	1	0.476	-1
196	16	3	12	0	scenes	-1	-1	1	0.475	-1
212	16	3	13	0	faces	-1	-1	1	0.443	-1
228	16	3	14	0	faces	1	1	1	0.523	5
244	16	3	15	0	scenes	1	1	1	0.331	4
260	16	3	16	0	scenes	-1	-1	1	0.602	-1
276	16	3	17	0	faces	-1	-1	1	0.465	-1
292	16	3	18	0	faces	1	1	1	0.457	5
308	16	3	19	0	scenes	-1	-1	1	0.522	-1
324	16	3	20	0	faces	1	1	1	0.424	5
