onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	3	1	0	faces	1	-1	0	0.399	5
36	16	3	2	0	scenes	-1	-1	1	0.422	-1
52	16	3	3	0	scenes	1	1	1	0.038	3
68	16	3	4	0	scenes	1	1	1	0.101	3
84	16	3	5	0	faces	-1	-1	1	0.317	-1
100	16	3	6	0	scenes	1	1	1	0.093	5
116	16	3	7	0	scenes	1	1	1	0.19	4
132	16	3	8	0	scenes	-1	-1	1	0.404	-1
148	16	3	9	0	faces	-1	-1	1	0.492	-1
164	16	3	10	0	faces	-1	-1	1	0.388	-1
180	16	3	11	0	faces	1	1	1	0.444	5
196	16	3	12	0	scenes	1	1	1	0.131	3
212	16	3	13	0	scenes	1	1	1	0.347	6
228	16	3	14	0	faces	1	1	1	0.331	4
244	16	3	15	0	faces	1	1	1	0.003	3
260	16	3	16	0	faces	1	1	1	0.401	6
276	16	3	17	0	scenes	1	1	1	0.122	3
292	16	3	18	0	faces	1	1	1	0.162	5
308	16	3	19	0	scenes	-1	1	0	0.097	-1
324	16	3	20	0	faces	1	1	1	0.338	5
