onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	20	6	1	0	stay	scene	top	-1	-1	1	0.408	-1
40	20	6	2	0	stay	scene	bottom	1	-1	0	0.424	6
60	28	6	3	0	switch	scene	top	1	1	1	0.383	4
88	20	6	4	0	stay	scene	top	-1	-1	1	0.527	-1
108	20	6	5	0	stay	scene	bottom	-1	-1	1	0.446	-1
128	20	6	6	0	stay	scene	top	1	1	1	0.263	3
148	20	6	7	0	stay	scene	top	-1	-1	1	0.286	-1
168	20	6	8	0	stay	scene	bottom	1	1	1	0.366	3
188	28	6	9	0	switch	scene	top	1	1	1	0.709	5
216	20	6	10	0	stay	scene	bottom	-1	-1	1	0.444	-1
236	28	6	11	0	switch	scene	bottom	-1	-1	1	0.397	-1
264	28	6	12	0	switch	scene	bottom	-1	-1	1	0.427	-1
292	28	6	13	0	switch	scene	bottom	-1	-1	1	0.387	-1
320	20	6	14	0	stay	scene	top	1	1	1	0.643	6
340	20	6	15	0	stay	scene	top	1	1	1	0.332	5
360	20	6	16	0	stay	scene	bottom	-1	-1	1	0.516	-1
380	28	6	17	0	switch	scene	top	1	1	1	0.442	4
408	20	6	18	0	stay	scene	bottom	1	1	1	0.322	3
