onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	20	5	1	0	stay	scene	bottom	1	1	1	0.392	3
40	28	5	2	0	switch	scene	top	-1	-1	1	0.35	-1
68	20	5	3	0	stay	scene	top	-1	-1	1	0.415	-1
88	28	5	4	0	switch	scene	bottom	1	1	1	0.398	5
116	20	5	5	0	stay	scene	bottom	1	1	1	0.478	5
136	20	5	6	0	stay	scene	top	1	1	1	0.502	6
156	28	5	7	0	switch	scene	top	-1	-1	1	0.263	-1
184	20	5	8	0	stay	scene	bottom	-1	-1	1	0.477	-1
204	20	5	9	0	stay	scene	bottom	-1	-1	1	0.478	-1
224	20	5	10	0	stay	scene	bottom	1	1	1	0.261	3
244	20	5	11	0	stay	scene	top	-1	-1	1	0.276	-1
264	28	5	12	0	switch	scene	top	-1	-1	1	0.397	-1
292	28	5	13	0	switch	scene	bottom	1	1	1	0.42	3
320	20	5	14	0	stay	scene	bottom	-1	-1	1	0.404	-1
340	20	5	15	0	stay	scene	top	-1	-1	1	0.396	-1
360	20	5	16	0	stay	scene	top	1	1	1	0.372	4
380	20	5	17	0	stay	scene	top	1	1	1	0.612	6
400	28	5	18	0	switch	scene	bottom	1	1	1	0.378	4
