onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	20	1	1	0	stay	scene	bottom	-1	-1	1	0.585	-1
40	28	1	2	0	switch	scene	bottom	1	-1	0	0.39	5
68	20	1	3	0	stay	scene	bottom	1	1	1	0.44	6
88	20	1	4	0	stay	scene	bottom	-1	-1	1	0.503	-1
108	20	1	5	0	stay	scene	top	-1	-1	1	0.519	-1
128	20	1	6	0	stay	scene	top	-1	-1	1	0.582	-1
148	20	1	7	0	stay	scene	top	1	1	1	0.439	6
168	28	1	8	0	switch	scene	top	-1	-1	1	0.422	-1
196	20	1	9	0	stay	scene	bottom	-1	-1	1	0.47	-1
216	20	1	10	0	stay	scene	top	1	1	1	0.397	5
236	20	1	11	0	stay	scene	bottom	1	1	1	0.495	6
256	20	1	12	0	stay	scene	top	1	1	1	0.381	4
276	28	1	13	0	switch	scene	top	-1	-1	1	0.5	-1
304	20	1	14	0	stay	scene	bottom	1	0	0	0	4
324	28	1	15	0	switch	scene	top	-1	-1	1	0.372	-1
352	28	1	16	0	switch	scene	bottom	1	1	1	0.691	6
380	28	1	17	0	switch	scene	bottom	1	1	1	0.547	6
408	20	1	18	0	stay	scene	top	-1	-1	1	0.428	-1
