onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	20	4	1	0	stay	scene	top	1	1	1	0.336	3
40	20	4	2	0	stay	scene	bottom	-1	-1	1	0.537	-1
60	20	4	3	0	stay	scene	top	-1	-1	1	0.409	-1
80	20	4	4	0	stay	scene	bottom	-1	-1	1	0.488	-1
100	20	4	5	0	stay	scene	bottom	1	1	1	0.823	4
120	28	4	6	0	switch	scene	top	1	1	1	0.421	4
148	20	4	7	0	stay	scene	top	1	1	1	0.383	5
168	28	4	8	0	switch	scene	top	1	1	1	0.453	4
196	20	4	9	0	stay	scene	top	-1	-1	1	0.286	-1
216	28	4	10	0	switch	scene	top	1	1	1	0.373	3
244	20	4	11	0	stay	scene	bottom	-1	-1	1	0.461	-1
264	20	4	12	0	stay	scene	bottom	1	1	1	0.374	5
284	20	4	13	0	stay	scene	bottom	1	1	1	0.429	5
304	28	4	14	0	switch	scene	bottom	-1	-1	1	0.461	-1
332	28	4	15	0	switch	scene	bottom	-1	-1	1	0.412	-1
360	20	4	16	0	stay	scene	top	1	1	1	0.437	3
380	28	4	17	0	switch	scene	bottom	-1	-1	1	0.427	-1
408	20	4	18	0	stay	scene	top	-1	-1	1	0.428	-1
