onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	1	1	0	scenes	1	1	1	0.784	4
36	16	1	2	0	scenes	-1	-1	1	0.743	-1
52	16	1	3	0	scenes	-1	-1	1	0.647	-1
68	16	1	4	0	faces	-1	-1	1	0.743	-1
84	16	1	5	0	scenes	1	1	1	0.526	3
100	16	1	6	0	faces	1	1	1	0.439	5
116	16	1	7	0	scenes	-1	-1	1	0.654	-1
132	16	1	8	0	scenes	1	1	1	0.366	4
148	16	1	9	0	faces	1	1	1	0.686	6
164	16	1	10	0	faces	-1	-1	1	0.445	-1
180	16	1	11	0	faces	-1	-1	1	0.548	-1
196	16	1	12	0	scenes	1	1	1	0.468	3
212	16	1	13	0	scenes	-1	-1	1	0.516	-1
228	16	1	14	0	faces	-1	-1	1	0.541	-1
244	16	1	15	0	scenes	1	1	1	0.38	4
260	16	1	16	0	faces	1	1	1	0.459	4
276	16	1	17	0	faces	-1	-1	1	0.5	-1
292	16	1	18	0	scenes	-1	-1	1	0.482	-1
308	16	1	19	0	faces	1	1	1	0.514	6
324	16	1	20	0	faces	1	1	1	0.61	6
