onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	20	2	1	0	stay	scene	top	1	1	1	0.321	5
40	28	2	2	0	switch	scene	bottom	-1	-1	1	0.439	-1
68	28	2	3	0	switch	scene	top	1	1	1	0.351	4
96	20	2	4	0	stay	scene	top	-1	-1	1	0.415	-1
116	20	2	5	0	stay	scene	top	-1	-1	1	0.535	-1
136	28	2	6	0	switch	scene	bottom	-1	-1	1	0.453	-1
164	20	2	7	0	stay	scene	bottom	1	1	1	0.494	3
184	20	2	8	0	stay	scene	bottom	1	1	1	0.238	4
204	28	2	9	0	switch	scene	bottom	-1	-1	1	0.389	-1
232	20	2	10	0	stay	scene	bottom	1	1	1	0.613	5
252	20	2	11	0	stay	scene	bottom	-1	-1	1	0.517	-1
272	20	2	12	0	stay	scene	bottom	-1	1	0	0.294	-1
292	20	2	13	0	stay	scene	top	1	1	1	0.045	3
312	28	2	14	0	switch	scene	top	1	1	1	0.397	5
340	28	2	15	0	switch	scene	top	1	1	1	0.34	5
368	20	2	16	0	stay	scene	bottom	-1	1	0	0.563	-1
388	20	2	17	0	stay	scene	top	1	1	1	0.331	4
408	20	2	18	0	stay	scene	top	-1	-1	1	0.691	-1
