onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	2	1	0	scenes	-1	-1	1	0.462	-1
36	16	2	2	0	faces	1	-1	0	0.422	5
52	16	2	3	0	faces	-1	-1	1	0.47	-1
68	16	2	4	0	faces	-1	-1	1	0.51	-1
84	16	2	5	0	faces	1	1	1	0.517	6
100	16	2	6	0	faces	-1	-1	1	0.446	-1
116	16	2	7	0	faces	1	1	1	0.34	4
132	16	2	8	0	scenes	-1	-1	1	0.549	-1
148	16	2	9	0	scenes	-1	-1	1	0.476	-1
164	16	2	10	0	scenes	1	1	1	0.428	5
180	16	2	11	0	scenes	-1	-1	1	0.476	-1
196	16	2	12	0	faces	-1	-1	1	0.443	-1
212	16	2	13	0	faces	-1	-1	1	0.522	-1
228	16	2	14	0	faces	-1	-1	1	0.595	-1
244	16	2	15	0	scenes	-1	-1	1	0.482	-1
260	16	2	16	0	scenes	1	1	1	0.546	6
276	16	2	17	0	scenes	1	1	1	0.482	5
292	16	2	18	0	scenes	1	1	1	0.53	5
308	16	2	19	0	faces	1	1	1	0.777	5
324	16	2	20	0	scenes	-1	-1	1	0.432	-1
