onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	28	4	1	0	switch	scene	bottom	-1	-1	1	0.455	-1
48	20	4	2	0	stay	scene	top	-1	-1	1	0.417	-1
68	28	4	3	0	switch	scene	top	1	1	1	0.406	5
96	28	4	4	0	switch	scene	top	1	1	1	0.406	4
124	20	4	5	0	stay	scene	top	1	1	1	0.519	5
144	20	4	6	0	stay	scene	top	-1	-1	1	0.503	-1
164	28	4	7	0	switch	scene	bottom	-1	-1	1	0.413	-1
192	20	4	8	0	stay	scene	bottom	1	1	1	0.381	5
212	20	4	9	0	stay	scene	bottom	-1	-1	1	0.43	-1
232	20	4	10	0	stay	scene	bottom	-1	-1	1	0.422	-1
252	20	4	11	0	stay	scene	top	1	1	1	0.373	5
272	28	4	12	0	switch	scene	bottom	-1	-1	1	0.436	-1
300	20	4	13	0	stay	scene	bottom	1	1	1	0.476	6
320	20	4	14	0	stay	scene	bottom	1	1	1	0.397	5
340	20	4	15	0	stay	scene	top	1	1	1	0.42	5
360	20	4	16	0	stay	scene	bottom	-1	-1	1	0.46	-1
380	20	4	17	0	stay	scene	top	-1	-1	1	0.42	-1
400	28	4	18	0	switch	scene	top	1	1	1	0.434	6
