onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	20	5	1	0	stay	scene	bottom	1	1	1	0.416	5
40	28	5	2	0	switch	scene	top	-1	-1	1	0.742	-1
68	20	5	3	0	stay	scene	bottom	-1	-1	1	0.703	-1
88	20	5	4	0	stay	scene	top	-1	-1	1	0.479	-1
108	20	5	5	0	stay	scene	bottom	-1	0	0	0	-1
128	20	5	6	0	stay	scene	top	-1	-1	1	0.51	-1
148	20	5	7	0	stay	scene	top	-1	-1	1	0.909	-1
168	20	5	8	0	stay	scene	top	1	1	1	0.46	5
188	20	5	9	0	stay	scene	bottom	1	1	1	0.444	4
208	20	5	10	0	stay	scene	bottom	1	0	0	0	5
228	28	5	11	0	switch	scene	bottom	1	-1	0	0.899	4
256	28	5	12	0	switch	scene	top	-1	-1	1	0.49	-1
284	20	5	13	0	stay	scene	top	1	1	1	0.572	5
304	28	5	14	0	switch	scene	top	-1	0	0	0	-1
332	28	5	15	0	switch	scene	bottom	1	1	1	0.202	5
360	20	5	16	0	stay	scene	bottom	-1	-1	1	0.435	-1
380	28	5	17	0	switch	scene	bottom	1	0	0	0	4
408	20	5	18	0	stay	scene	top	1	1	1	0.483	6
