onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	3	1	0	faces	-1	-1	1	0.512	-1
36	16	3	2	0	faces	-1	-1	1	0.512	-1
52	16	3	3	0	faces	1	1	1	0.582	4
68	16	3	4	0	scenes	1	1	1	0.47	4
84	16	3	5	0	scenes	1	1	1	0.277	5
100	16	3	6	0	faces	-1	-1	1	0.734	-1
116	16	3	7	0	scenes	-1	-1	1	0.581	-1
132	16	3	8	0	faces	1	1	1	0.421	5
148	16	3	9	0	faces	1	1	1	0.277	6
164	16	3	10	0	faces	-1	1	0	0.357	-1
180	16	3	11	0	scenes	-1	-1	1	0.523	-1
196	16	3	12	0	scenes	-1	-1	1	0.588	-1
212	16	3	13	0	faces	1	1	1	0.372	6
228	16	3	14	0	scenes	1	1	1	0.387	5
244	16	3	15	0	scenes	-1	-1	1	0.867	-1
260	16	3	16	0	scenes	1	1	1	0.123	3
276	16	3	17	0	scenes	1	1	1	0.426	6
292	16	3	18	0	faces	-1	-1	1	0.489	-1
308	16	3	19	0	scenes	-1	-1	1	0.506	-1
324	16	3	20	0	faces	1	1	1	0.169	4
