onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	2	1	0	faces	1	1	1	0.247	3
36	16	2	2	0	scenes	1	1	1	0.44	5
52	16	2	3	0	faces	-1	-1	1	0.871	-1
68	16	2	4	0	faces	1	1	1	0.079	3
84	16	2	5	0	scenes	-1	-1	1	0.51	-1
100	16	2	6	0	faces	1	1	1	0.654	3
116	16	2	7	0	faces	1	1	1	0.237	5
132	16	2	8	0	scenes	1	1	1	0.008	4
148	16	2	9	0	faces	-1	-1	1	0.437	-1
164	16	2	10	0	scenes	1	-1	0	0.524	5
180	16	2	11	0	faces	1	0	0	0	5
196	16	2	12	0	scenes	1	1	1	0.437	6
212	16	2	13	0	faces	1	1	1	0.043	3
228	16	2	14	0	faces	1	-1	0	0.54	4
244	16	2	15	0	scenes	1	1	1	0.395	4
260	16	2	16	0	scenes	1	1	1	0.004	4
276	16	2	17	0	scenes	-1	0	0	0	-1
292	16	2	18	0	faces	-1	-1	1	0.794	-1
308	16	2	19	0	scenes	-1	0	0	0	-1
324	16	2	20	0	scenes	1	0	0	0	6
