onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	1	1	0	faces	-1	0	0	0	-1
36	16	1	2	0	scenes	1	1	1	0.663	3
52	16	1	3	0	faces	1	1	1	0.463	4
68	16	1	4	0	faces	1	1	1	0.407	5
84	16	1	5	0	faces	1	1	1	0.182	3
100	16	1	6	0	faces	-1	-1	1	0.885	-1
116	16	1	7	0	faces	-1	-1	1	0.71	-1
132	16	1	8	0	faces	-1	0	0	0	-1
148	16	1	9	0	scenes	-1	-1	1	0.644	-1
164	16	1	10	0	scenes	-1	-1	1	0.693	-1
180	16	1	11	0	scenes	-1	-1	1	0.732	-1
196	16	1	12	0	scenes	1	-1	0	0.652	3
212	16	1	13	0	faces	-1	-1	1	0.484	-1
228	16	1	14	0	scenes	-1	-1	1	0.604	-1
244	16	1	15	0	faces	-1	-1	1	0.443	-1
260	16	1	16	0	scenes	-1	-1	1	0.795	-1
276	16	1	17	0	scenes	-1	1	0	0.827	-1
292	16	1	18	0	scenes	1	-1	0	0.866	3
308	16	1	19	0	scenes	-1	-1	1	0.626	-1
324	16	1	20	0	faces	-1	-1	1	0.745	-1
