onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	20	2	1	0	stay	scene	top	-1	-1	1	0.552	-1
40	20	2	2	0	stay	scene	bottom	1	-1	0	0.512	3
60	20	2	3	0	stay	scene	bottom	1	0	0	0	3
80	20	2	4	0	stay	scene	top	-1	-1	1	0.423	-1
100	20	2	5	0	stay	scene	top	1	1	1	0.392	4
120	28	2	6	0	switch	scene	top	1	-1	0	0.422	3
148	28	2	7	0	switch	scene	bottom	-1	-1	1	0.79	-1
176	20	2	8	0	stay	scene	bottom	1	1	1	0.518	6
196	28	2	9	0	switch	scene	top	1	1	1	0.83	3
224	28	2	10	0	switch	scene	bottom	-1	-1	1	0.532	-1
252	20	2	11	0	stay	scene	top	-1	-1	1	0.885	-1
272	28	2	12	0	switch	scene	top	1	0	0	0	5
300	20	2	13	0	stay	scene	bottom	-1	-1	1	0.492	-1
320	20	2	14	0	stay	scene	top	1	-1	0	0.413	3
340	20	2	15	0	stay	scene	bottom	-1	-1	1	0.661	-1
360	20	2	16	0	stay	scene	top	1	1	1	0.635	6
380	28	2	17	0	switch	scene	bottom	-1	-1	1	0.611	-1
408	20	2	18	0	stay	scene	bottom	-1	0	0	0	-1
