onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	3	1	0	scenes	1	1	1	0.503	5
36	16	3	2	0	faces	-1	1	0	0.503	-1
52	16	3	3	0	faces	-1	-1	1	0.502	-1
68	16	3	4	0	scenes	-1	-1	1	0.438	-1
84	16	3	5	0	scenes	-1	-1	1	0.43	-1
100	16	3	6	0	scenes	-1	-1	1	0.461	-1
116	16	3	7	0	scenes	1	1	1	0.469	6
132	16	3	8	0	faces	1	1	1	0.382	3
148	16	3	9	0	scenes	-1	-1	1	0.469	-1
164	16	3	10	0	scenes	1	1	1	0.844	6
180	16	3	11	0	faces	-1	-1	1	0.468	-1
196	16	3	12	0	faces	1	1	1	0.467	6
212	16	3	13	0	scenes	1	1	1	0.451	6
228	16	3	14	0	scenes	1	1	1	0.411	4
244	16	3	15	0	faces	1	1	1	0.458	4
260	16	3	16	0	faces	1	1	1	0.434	4
276	16	3	17	0	scenes	1	-1	0	0.546	6
292	16	3	18	0	faces	1	1	1	0.442	6
308	16	3	19	0	faces	1	1	1	0.402	4
324	16	3	20	0	faces	-1	1	0	0.497	-1
