onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	3	1	0	faces	1	1	1	0.432	5
36	16	3	2	0	scenes	1	1	1	0.423	6
52	16	3	3	0	faces	1	1	1	0.335	6
68	16	3	4	0	faces	-1	-1	1	0.431	-1
84	16	3	5	0	scenes	1	-1	0	0.413	4
100	16	3	6	0	faces	-1	-1	1	0.39	-1
116	16	3	7	0	scenes	1	-1	0	0.478	4
132	16	3	8	0	scenes	-1	-1	1	0.381	-1
148	16	3	9	0	faces	1	1	1	0.316	3
164	16	3	10	0	scenes	1	1	1	0.397	5
180	16	3	11	0	faces	-1	-1	1	0.444	-1
196	16	3	12	0	scenes	-1	-1	1	0.483	-1
212	16	3	13	0	scenes	1	1	1	0.396	4
228	16	3	14	0	faces	-1	-1	1	0.388	-1
244	16	3	15	0	scenes	-1	-1	1	0.492	-1
260	16	3	16	0	scenes	1	1	1	0.395	4
276	16	3	17	0	faces	1	1	1	0.243	4
292	16	3	18	0	scenes	-1	1	0	0.355	-1
308	16	3	19	0	faces	1	1	1	0.347	4
324	16	3	20	0	faces	1	1	1	0.498	6
