onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	20	6	1	0	stay	scene	top	-1	-1	1	0.375	-1
40	28	6	2	0	switch	scene	bottom	-1	-1	1	0.382	-1
68	20	6	3	0	stay	scene	top	1	1	1	0.366	6
88	20	6	4	0	stay	scene	top	1	1	1	0.375	5
108	20	6	5	0	stay	scene	bottom	1	1	1	0.422	6
128	20	6	6	0	stay	scene	bottom	1	1	1	0.237	3
148	20	6	7	0	stay	scene	bottom	1	-1	0	0.446	3
168	20	6	8	0	stay	scene	top	-1	1	0	0.51	-1
188	28	6	9	0	switch	scene	top	1	1	1	0.388	5
216	20	6	10	0	stay	scene	bottom	-1	-1	1	0.413	-1
236	20	6	11	0	stay	scene	top	-1	-1	1	0.405	-1
256	28	6	12	0	switch	scene	bottom	-1	-1	1	0.411	-1
284	20	6	13	0	stay	scene	bottom	-1	1	0	0.748	-1
304	20	6	14	0	stay	scene	top	1	1	1	0.331	6
324	28	6	15	0	switch	scene	top	1	1	1	0.322	4
352	28	6	16	0	switch	scene	top	1	1	1	0.354	4
380	28	6	17	0	switch	scene	bottom	-1	-1	1	0.377	-1
408	20	6	18	0	stay	scene	bottom	-1	-1	1	0.419	-1
