onset	duration	#	type	cat	block	trial	p2ans	p3ans	ansType	resp	conf	acc	rt
n/a	n/a	1	new	scene	0	0	0	1	NEW	3	NEW+	1	1.64
n/a	n/a	2	new	scene	0	0	0	1	NEW	3	NEW+	1	1.53
n/a	n/a	3	stay	scene	6	10	-1	-1	OLD	-3	OLD+	1	2.07
n/a	n/a	4	stay	scene	2	6	-1	-1	OLD	-2	old-	1	1.39
n/a	n/a	5	new	scene	0	0	0	1	NEW	3	NEW+	1	1.22
n/a	n/a	6	new	scene	0	0	0	1	NEW	3	NEW+	1	1.16
n/a	n/a	7	new	scene	0	0	0	1	NEW	2	new-	1	1.64
n/a	n/a	8	new	scene	0	0	0	1	NEW	2	new-	1	1.86
n/a	n/a	9	new	scene	0	0	0	1	NEW	-3	OLD+	0	2.08
n/a	n/a	10	switch	scene	4	10	1	-1	OLD	-2	old-	1	1.56
n/a	n/a	11	stay	scene	4	11	-1	-1	OLD	3	NEW+	0	1.18
n/a	n/a	12	stay	scene	3	8	-1	-1	OLD	-3	OLD+	1	1.7
n/a	n/a	13	stay	scene	4	9	-1	-1	OLD	-3	OLD+	1	1.76
n/a	n/a	14	new	scene	0	0	0	1	NEW	2	new-	1	1.76
n/a	n/a	15	new	scene	0	0	0	1	NEW	2	new-	1	1.56
n/a	n/a	16	switch	scene	5	15	-1	-1	OLD	-3	OLD+	1	1.2
n/a	n/a	17	new	scene	0	0	0	1	NEW	-2	old-	0	3.12
n/a	n/a	18	new	scene	0	0	0	1	NEW	2	new-	1	2.23
n/a	n/a	19	new	scene	0	0	0	1	NEW	3	NEW+	1	1.1
n/a	n/a	20	new	scene	0	0	0	1	NEW	3	NEW+	1	2.2
n/a	n/a	21	stay	scene	1	17	-1	-1	OLD	2	new-	0	2.28
n/a	n/a	22	switch	scene	3	18	-1	-1	OLD	-2	old-	1	2.98
n/a	n/a	23	switch	scene	1	3	-1	-1	OLD	-2	old-	1	2.47
n/a	n/a	24	new	scene	0	0	0	1	NEW	2	new-	1	1.58
n/a	n/a	25	new	scene	0	0	0	1	NEW	2	new-	1	1.55
n/a	n/a	26	stay	scene	6	13	-1	-1	OLD	-3	OLD+	1	1.2
n/a	n/a	27	new	scene	0	0	0	1	NEW	2	new-	1	2.33
n/a	n/a	28	new	scene	0	0	0	1	NEW	2	new-	1	2.06
n/a	n/a	29	switch	scene	1	2	-1	-1	OLD	-3	OLD+	1	1.42
n/a	n/a	30	stay	scene	5	1	-1	-1	OLD	-2	old-	1	1.59
n/a	n/a	31	stay	scene	2	7	-1	-1	OLD	-2	old-	1	1.71
n/a	n/a	32	stay	scene	1	9	-1	-1	OLD	-3	OLD+	1	0.94
n/a	n/a	33	switch	scene	5	9	1	-1	OLD	-3	OLD+	1	0.98
n/a	n/a	34	switch	scene	4	15	-1	-1	OLD	-2	old-	1	3.29
n/a	n/a	35	new	scene	0	0	0	1	NEW	2	new-	1	2.54
n/a	n/a	36	switch	scene	6	5	-1	-1	OLD	-3	OLD+	1	1.19
n/a	n/a	37	new	scene	0	0	0	1	NEW	-2	old-	0	2.08
n/a	n/a	38	new	scene	0	0	0	1	NEW	2	new-	1	2.48
n/a	n/a	39	switch	scene	6	6	-1	-1	OLD	-3	OLD+	1	1.13
n/a	n/a	40	stay	scene	5	16	-1	-1	OLD	-3	OLD+	1	1.13
