onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	1	1	0	faces	1	-1	0	0.775	6
36	16	1	2	0	faces	1	1	1	0.599	4
52	16	1	3	0	scenes	-1	-1	1	0.527	-1
68	16	1	4	0	scenes	1	-1	0	0.813	6
84	16	1	5	0	faces	-1	-1	1	0.861	-1
100	16	1	6	0	scenes	1	1	1	0.477	5
116	16	1	7	0	scenes	1	1	1	0.38	3
132	16	1	8	0	faces	1	1	1	0.588	6
148	16	1	9	0	scenes	1	1	1	0.284	4
164	16	1	10	0	scenes	-1	-1	1	0.476	-1
180	16	1	11	0	faces	-1	-1	1	0.436	-1
196	16	1	12	0	scenes	-1	-1	1	0.668	-1
212	16	1	13	0	faces	-1	-1	1	0.443	-1
228	16	1	14	0	scenes	1	1	1	0.371	3
244	16	1	15	0	scenes	1	1	1	0.498	3
260	16	1	16	0	faces	1	1	1	0.379	4
276	16	1	17	0	faces	1	1	1	0.057	3
292	16	1	18	0	faces	1	1	1	0.466	6
308	16	1	19	0	faces	-1	-1	1	0.417	-1
324	16	1	20	0	scenes	-1	-1	1	0.554	-1
