onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	20	1	1	0	stay	scene	top	-1	-1	1	0.536	-1
40	28	1	2	0	switch	scene	bottom	1	1	1	0.43	4
68	28	1	3	0	switch	scene	top	-1	-1	1	0.462	-1
96	28	1	4	0	switch	scene	bottom	1	1	1	0.517	6
124	28	1	5	0	switch	scene	top	-1	1	0	0.358	-1
152	20	1	6	0	stay	scene	top	1	-1	0	0.582	3
172	20	1	7	0	stay	scene	bottom	-1	-1	1	0.462	-1
192	20	1	8	0	stay	scene	bottom	-1	-1	1	0.461	-1
212	20	1	9	0	stay	scene	top	1	-1	0	0.533	4
232	20	1	10	0	stay	scene	bottom	1	1	1	0.588	6
252	28	1	11	0	switch	scene	bottom	1	1	1	0.172	3
280	20	1	12	0	stay	scene	top	1	1	1	0.252	5
300	20	1	13	0	stay	scene	top	-1	-1	1	0.412	-1
320	20	1	14	0	stay	scene	bottom	1	0	0	0	5
340	20	1	15	0	stay	scene	top	-1	-1	1	0.251	-1
360	20	1	16	0	stay	scene	bottom	-1	-1	1	0.242	-1
380	28	1	17	0	switch	scene	top	-1	-1	1	0.426	-1
408	20	1	18	0	stay	scene	bottom	1	-1	0	0.555	4
