onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	4	1	0	faces	-1	-1	1	0.391	-1
36	16	4	2	0	faces	-1	-1	1	0.391	-1
52	16	4	3	0	scenes	-1	-1	1	0.487	-1
68	16	4	4	0	scenes	-1	-1	1	0.622	-1
84	16	4	5	0	scenes	1	1	1	0.366	4
100	16	4	6	0	faces	-1	-1	1	0.471	-1
116	16	4	7	0	scenes	-1	-1	1	0.493	-1
132	16	4	8	0	faces	-1	-1	1	0.469	-1
148	16	4	9	0	faces	1	1	1	0.518	3
164	16	4	10	0	faces	1	1	1	0.325	4
180	16	4	11	0	scenes	-1	-1	1	0.452	-1
196	16	4	12	0	faces	-1	-1	1	0.564	-1
212	16	4	13	0	faces	-1	-1	1	0.612	-1
228	16	4	14	0	faces	-1	-1	1	0.701	-1
244	16	4	15	0	scenes	-1	-1	1	0.611	-1
260	16	4	16	0	scenes	-1	-1	1	0.547	-1
276	16	4	17	0	scenes	1	1	1	0.195	3
292	16	4	18	0	scenes	1	1	1	0.339	4
308	16	4	19	0	scenes	-1	-1	1	0.347	-1
324	16	4	20	0	faces	1	1	1	0.107	3
