onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	28	4	1	0	switch	scene	top	1	1	1	0.263	5
48	20	4	2	0	stay	scene	top	-1	-1	1	0.639	-1
68	28	4	3	0	switch	scene	bottom	-1	-1	1	0.325	-1
96	20	4	4	0	stay	scene	top	1	1	1	0.637	5
116	28	4	5	0	switch	scene	top	1	1	1	0.133	4
144	20	4	6	0	stay	scene	bottom	1	1	1	0.357	6
164	20	4	7	0	stay	scene	bottom	-1	-1	1	0.3	-1
184	20	4	8	0	stay	scene	bottom	-1	-1	1	0.427	-1
204	28	4	9	0	switch	scene	bottom	-1	-1	1	0.396	-1
232	20	4	10	0	stay	scene	top	1	1	1	0.341	6
252	28	4	11	0	switch	scene	bottom	-1	-1	1	0.331	-1
280	20	4	12	0	stay	scene	top	1	1	1	0.092	4
300	20	4	13	0	stay	scene	bottom	-1	-1	1	0.371	-1
320	20	4	14	0	stay	scene	top	-1	-1	1	0.411	-1
340	20	4	15	0	stay	scene	bottom	1	1	1	0.068	3
360	20	4	16	0	stay	scene	bottom	1	1	1	0.259	3
380	20	4	17	0	stay	scene	top	-1	-1	1	0.387	-1
400	28	4	18	0	switch	scene	top	1	1	1	0.561	6
