onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	4	1	0	faces	-1	-1	1	0.32	-1
36	16	4	2	0	faces	1	1	1	0.366	3
52	16	4	3	0	faces	1	1	1	0.398	3
68	16	4	4	0	faces	1	1	1	0.262	4
84	16	4	5	0	faces	-1	-1	1	0.309	-1
100	16	4	6	0	scenes	1	1	1	0.397	4
116	16	4	7	0	scenes	1	1	1	0.349	5
132	16	4	8	0	scenes	-1	-1	1	0.333	-1
148	16	4	9	0	scenes	1	1	1	0.317	5
164	16	4	10	0	faces	-1	-1	1	0.382	-1
180	16	4	11	0	faces	-1	-1	1	0.42	-1
196	16	4	12	0	scenes	1	1	1	0.341	4
212	16	4	13	0	faces	1	1	1	0.292	4
228	16	4	14	0	scenes	-1	-1	1	0.395	-1
244	16	4	15	0	scenes	-1	-1	1	0.243	-1
260	16	4	16	0	scenes	-1	-1	1	0.346	-1
276	16	4	17	0	scenes	1	1	1	0.579	5
292	16	4	18	0	faces	-1	-1	1	0.234	-1
308	16	4	19	0	scenes	-1	-1	1	0.458	-1
324	16	4	20	0	faces	1	1	1	0.394	5
