onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	20	1	1	0	stay	scene	top	-1	1	0	0.455	-1
40	28	1	2	0	switch	scene	top	-1	-1	1	0.454	-1
68	28	1	3	0	switch	scene	top	-1	-1	1	0.39	-1
96	20	1	4	0	stay	scene	bottom	1	1	1	0.359	6
116	20	1	5	0	stay	scene	bottom	-1	1	0	0.55	-1
136	20	1	6	0	stay	scene	top	1	1	1	0.07	3
156	20	1	7	0	stay	scene	bottom	1	1	1	0.373	3
176	20	1	8	0	stay	scene	bottom	-1	-1	1	0.422	-1
196	20	1	9	0	stay	scene	bottom	-1	-1	1	0.509	-1
216	28	1	10	0	switch	scene	bottom	1	1	1	0.476	6
244	28	1	11	0	switch	scene	bottom	1	1	1	0.421	4
272	20	1	12	0	stay	scene	top	1	1	1	0.462	6
292	20	1	13	0	stay	scene	top	1	1	1	0.412	6
312	28	1	14	0	switch	scene	bottom	1	1	1	0.427	4
340	28	1	15	0	switch	scene	top	-1	-1	1	0.316	-1
368	20	1	16	0	stay	scene	bottom	1	1	1	0.42	5
388	20	1	17	0	stay	scene	top	-1	-1	1	0.682	-1
408	20	1	18	0	stay	scene	top	-1	-1	1	0.219	-1
