onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	20	6	1	0	stay	scene	top	-1	-1	1	0.632	-1
40	20	6	2	0	stay	scene	bottom	1	-1	0	0.391	3
60	28	6	3	0	switch	scene	top	1	1	1	0.438	6
88	20	6	4	0	stay	scene	top	-1	-1	1	0.342	-1
108	28	6	5	0	switch	scene	bottom	-1	-1	1	0.3	-1
136	28	6	6	0	switch	scene	bottom	-1	-1	1	0.318	-1
164	20	6	7	0	stay	scene	bottom	-1	-1	1	0.365	-1
184	28	6	8	0	switch	scene	top	1	1	1	0.444	4
212	20	6	9	0	stay	scene	top	-1	-1	1	0.253	-1
232	20	6	10	0	stay	scene	bottom	-1	-1	1	0.388	-1
252	20	6	11	0	stay	scene	bottom	1	1	1	0.709	6
272	28	6	12	0	switch	scene	bottom	-1	-1	1	0.339	-1
300	20	6	13	0	stay	scene	bottom	-1	-1	1	0.371	-1
320	28	6	14	0	switch	scene	top	1	1	1	0.258	4
348	20	6	15	0	stay	scene	top	1	-1	0	0.467	6
368	20	6	16	0	stay	scene	bottom	1	1	1	0.187	4
388	20	6	17	0	stay	scene	top	1	1	1	0.283	3
408	20	6	18	0	stay	scene	top	1	1	1	0.41	6
