onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	20	2	1	0	stay	scene	top	-1	-1	1	0.432	-1
40	28	2	2	0	switch	scene	bottom	-1	-1	1	0.43	-1
68	20	2	3	0	stay	scene	top	1	1	1	0.448	4
88	20	2	4	0	stay	scene	top	1	1	1	0.503	6
108	20	2	5	0	stay	scene	bottom	1	1	1	0.342	5
128	20	2	6	0	stay	scene	top	-1	-1	1	0.31	-1
148	20	2	7	0	stay	scene	bottom	-1	-1	1	0.367	-1
168	28	2	8	0	switch	scene	bottom	-1	-1	1	0.413	-1
196	20	2	9	0	stay	scene	bottom	-1	-1	1	0.254	-1
216	28	2	10	0	switch	scene	top	1	-1	0	0.374	4
244	28	2	11	0	switch	scene	top	1	1	1	0.365	4
272	20	2	12	0	stay	scene	top	-1	-1	1	0.349	-1
292	20	2	13	0	stay	scene	bottom	1	1	1	0.517	6
312	28	2	14	0	switch	scene	bottom	-1	-1	1	0.444	-1
340	20	2	15	0	stay	scene	top	1	1	1	0.189	6
360	20	2	16	0	stay	scene	bottom	1	1	1	0.365	3
380	20	2	17	0	stay	scene	bottom	-1	-1	1	0.724	-1
400	28	2	18	0	switch	scene	top	1	1	1	0.482	6
