onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	2	1	0	faces	1	1	1	0.334	3
36	16	2	2	0	scenes	1	1	1	0.262	5
52	16	2	3	0	faces	-1	-1	1	0.43	-1
68	16	2	4	0	faces	-1	-1	1	0.557	-1
84	16	2	5	0	scenes	-1	-1	1	0.349	-1
100	16	2	6	0	scenes	-1	-1	1	0.349	-1
116	16	2	7	0	scenes	-1	-1	1	0.445	-1
132	16	2	8	0	scenes	1	1	1	0.34	5
148	16	2	9	0	scenes	-1	-1	1	0.284	-1
164	16	2	10	0	faces	1	1	1	0.253	3
180	16	2	11	0	scenes	-1	-1	1	0.388	-1
196	16	2	12	0	faces	-1	-1	1	0.469	-1
212	16	2	13	0	scenes	1	1	1	0.332	5
228	16	2	14	0	faces	1	1	1	0.355	6
244	16	2	15	0	faces	-1	-1	1	0.251	-1
260	16	2	16	0	faces	-1	-1	1	0.41	-1
276	16	2	17	0	scenes	1	1	1	0.514	6
292	16	2	18	0	faces	1	1	1	0.458	6
308	16	2	19	0	scenes	1	1	1	0.186	4
324	16	2	20	0	faces	1	1	1	0.337	5
