onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	20	4	1	0	stay	scene	top	-1	-1	1	0.374	-1
40	20	4	2	0	stay	scene	bottom	-1	-1	1	0.351	-1
60	28	4	3	0	switch	scene	top	1	-1	0	0.303	3
88	20	4	4	0	stay	scene	top	1	1	1	0.382	4
108	28	4	5	0	switch	scene	top	1	1	1	0.413	6
136	20	4	6	0	stay	scene	top	-1	1	0	0.413	-1
156	20	4	7	0	stay	scene	bottom	1	1	1	0.341	4
176	20	4	8	0	stay	scene	bottom	1	1	1	0.173	4
196	20	4	9	0	stay	scene	bottom	-1	-1	1	0.373	-1
216	28	4	10	0	switch	scene	top	1	1	1	0.46	5
244	20	4	11	0	stay	scene	top	-1	-1	1	0.388	-1
264	28	4	12	0	switch	scene	bottom	-1	-1	1	0.411	-1
292	28	4	13	0	switch	scene	bottom	-1	-1	1	0.379	-1
320	20	4	14	0	stay	scene	bottom	-1	-1	1	0.676	-1
340	28	4	15	0	switch	scene	bottom	-1	-1	1	0.378	-1
368	20	4	16	0	stay	scene	top	1	1	1	0.291	3
388	20	4	17	0	stay	scene	top	1	1	1	0.123	3
408	20	4	18	0	stay	scene	bottom	1	1	1	0.33	5
