onset	duration	#	type	cat	block	trial	p2ans	p3ans	ansType	resp	conf	acc	rt
n/a	n/a	1	stay	scene	6	11	-1	-1	OLD	-3	OLD+	1	1.6
n/a	n/a	2	switch	scene	5	3	1	-1	OLD	-3	OLD+	1	1.5
n/a	n/a	3	switch	scene	6	16	1	-1	OLD	-3	OLD+	1	0.93
n/a	n/a	4	new	scene	0	0	0	1	NEW	3	NEW+	1	1.38
n/a	n/a	5	switch	scene	4	6	-1	-1	OLD	-3	OLD+	1	1.79
n/a	n/a	6	new	scene	0	0	0	1	NEW	2	new-	1	1.6
n/a	n/a	7	stay	scene	2	16	-1	-1	OLD	-2	old-	1	1.91
n/a	n/a	8	new	scene	0	0	0	1	NEW	2	new-	1	1.82
n/a	n/a	9	new	scene	0	0	0	1	NEW	2	new-	1	2.01
n/a	n/a	10	new	scene	0	0	0	1	NEW	3	NEW+	1	1.19
n/a	n/a	11	stay	scene	2	9	-1	-1	OLD	-3	OLD+	1	1.34
n/a	n/a	12	new	scene	0	0	0	1	NEW	2	new-	1	1.59
n/a	n/a	13	switch	scene	5	7	-1	-1	OLD	-2	old-	1	2.01
n/a	n/a	14	switch	scene	3	9	-1	-1	OLD	-3	OLD+	1	1.21
n/a	n/a	15	stay	scene	1	17	-1	-1	OLD	-2	old-	1	2.41
n/a	n/a	16	stay	scene	4	7	-1	-1	OLD	-3	OLD+	1	0.96
n/a	n/a	17	switch	scene	2	10	-1	-1	OLD	-3	OLD+	1	1.32
n/a	n/a	18	new	scene	0	0	0	1	NEW	2	new-	1	1.7
n/a	n/a	19	new	scene	0	0	0	1	NEW	3	NEW+	1	1.05
n/a	n/a	20	stay	scene	5	17	-1	-1	OLD	-3	OLD+	1	2.07
n/a	n/a	21	new	scene	0	0	0	1	NEW	2	new-	1	2.14
n/a	n/a	22	new	scene	0	0	0	1	NEW	3	NEW+	1	1.05
n/a	n/a	23	stay	scene	6	1	-1	-1	OLD	-3	OLD+	1	1.29
n/a	n/a	24	stay	scene	6	10	-1	-1	OLD	-3	OLD+	1	1.36
n/a	n/a	25	stay	scene	1	13	-1	-1	OLD	-3	OLD+	1	1.03
n/a	n/a	26	new	scene	0	0	0	1	NEW	2	new-	1	1.3
n/a	n/a	27	switch	scene	3	11	-1	-1	OLD	2	new-	0	1.58
n/a	n/a	28	switch	scene	2	5	1	-1	OLD	-3	OLD+	1	1.1
n/a	n/a	29	switch	scene	1	9	1	-1	OLD	-3	OLD+	1	1.44
n/a	n/a	30	switch	scene	5	12	-1	-1	OLD	-3	OLD+	1	0.98
n/a	n/a	31	stay	scene	5	13	-1	-1	OLD	-3	OLD+	1	1.1
