onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	4	1	0	faces	1	1	1	0.567	5
36	16	4	2	0	faces	1	1	1	0.447	5
52	16	4	3	0	scenes	-1	-1	1	0.398	-1
68	16	4	4	0	faces	1	1	1	0.318	6
84	16	4	5	0	scenes	-1	-1	1	0.405	-1
100	16	4	6	0	faces	1	1	1	0.326	5
116	16	4	7	0	scenes	1	1	1	0.373	4
132	16	4	8	0	scenes	1	1	1	0.084	6
148	16	4	9	0	scenes	1	-1	0	0.501	6
164	16	4	10	0	scenes	1	1	1	0.78	3
180	16	4	11	0	scenes	1	1	1	0.3	3
196	16	4	12	0	scenes	-1	-1	1	0.3	-1
212	16	4	13	0	scenes	1	-1	0	0.772	6
228	16	4	14	0	faces	1	1	1	0.251	3
244	16	4	15	0	faces	-1	1	0	0.354	-1
260	16	4	16	0	scenes	1	1	1	0.042	4
276	16	4	17	0	faces	1	1	1	0.25	3
292	16	4	18	0	faces	-1	-1	1	0.33	-1
308	16	4	19	0	faces	1	1	1	0.418	6
324	16	4	20	0	faces	-1	1	0	0.345	-1
