onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	28	2	1	0	switch	scene	top	1	-1	0	0.781	4
48	20	2	2	0	stay	scene	top	-1	0	0	0	-1
68	20	2	3	0	stay	scene	top	1	0	0	0	4
88	28	2	4	0	switch	scene	bottom	-1	0	0	0	-1
116	20	2	5	0	stay	scene	top	1	1	1	0.254	3
136	20	2	6	0	stay	scene	bottom	-1	-1	1	0.316	-1
156	20	2	7	0	stay	scene	bottom	-1	-1	1	0.357	-1
176	20	2	8	0	stay	scene	bottom	1	1	1	0.484	6
196	20	2	9	0	stay	scene	bottom	1	-1	0	0.58	3
216	28	2	10	0	switch	scene	top	1	1	1	0.227	3
244	20	2	11	0	stay	scene	top	-1	-1	1	0.323	-1
264	28	2	12	0	switch	scene	bottom	-1	-1	1	0.386	-1
292	28	2	13	0	switch	scene	bottom	-1	-1	1	0.386	-1
320	28	2	14	0	switch	scene	top	1	1	1	0.21	4
348	20	2	15	0	stay	scene	top	1	0	0	0	6
368	20	2	16	0	stay	scene	bottom	-1	-1	1	0.258	-1
388	20	2	17	0	stay	scene	bottom	1	-1	0	0.202	6
408	20	2	18	0	stay	scene	top	-1	1	0	0.393	-1
