onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	20	2	1	0	stay	scene	bottom	-1	-1	1	0.296	-1
40	28	2	2	0	switch	scene	bottom	-1	-1	1	0.351	-1
68	28	2	3	0	switch	scene	bottom	-1	-1	1	0.326	-1
96	20	2	4	0	stay	scene	bottom	1	1	1	0.143	3
116	20	2	5	0	stay	scene	bottom	1	1	1	0.351	4
136	28	2	6	0	switch	scene	top	1	1	1	0.438	5
164	20	2	7	0	stay	scene	bottom	-1	-1	1	0.422	-1
184	20	2	8	0	stay	scene	top	-1	-1	1	0.365	-1
204	20	2	9	0	stay	scene	top	-1	-1	1	0.373	-1
224	20	2	10	0	stay	scene	bottom	1	1	1	0.325	5
244	20	2	11	0	stay	scene	bottom	-1	-1	1	0.444	-1
264	20	2	12	0	stay	scene	top	1	-1	0	0.485	6
284	28	2	13	0	switch	scene	top	1	1	1	0.371	4
312	20	2	14	0	stay	scene	top	-1	-1	1	0.34	-1
332	20	2	15	0	stay	scene	top	1	-1	0	0.435	6
352	20	2	16	0	stay	scene	top	1	1	1	0.404	4
372	28	2	17	0	switch	scene	bottom	-1	-1	1	0.361	-1
400	28	2	18	0	switch	scene	top	1	1	1	0.338	3
