onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	4	1	0	faces	1	1	1	0.318	4
36	16	4	2	0	faces	1	1	1	0.326	5
52	16	4	3	0	scenes	1	1	1	0.382	4
68	16	4	4	0	scenes	-1	-1	1	0.462	-1
84	16	4	5	0	faces	1	1	1	0.389	5
100	16	4	6	0	scenes	1	1	1	0.213	3
116	16	4	7	0	faces	1	-1	0	0.581	6
132	16	4	8	0	faces	1	1	1	0.165	3
148	16	4	9	0	faces	-1	-1	1	0.404	-1
164	16	4	10	0	scenes	1	1	1	0.316	3
180	16	4	11	0	faces	-1	-1	1	0.444	-1
196	16	4	12	0	scenes	1	1	1	0.163	4
212	16	4	13	0	scenes	1	1	1	0.323	3
228	16	4	14	0	scenes	1	1	1	0.195	6
244	16	4	15	0	faces	1	1	1	0.306	5
260	16	4	16	0	scenes	1	1	1	0.058	3
276	16	4	17	0	scenes	-1	-1	1	0.346	-1
292	16	4	18	0	scenes	-1	-1	1	0.394	-1
308	16	4	19	0	faces	-1	-1	1	0.345	-1
324	16	4	20	0	faces	1	1	1	0.554	4
