onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	2	1	0	faces	1	1	1	0.408	4
36	16	2	2	0	faces	-1	-1	1	0.408	-1
52	16	2	3	0	scenes	-1	-1	1	0.495	-1
68	16	2	4	0	faces	1	1	1	0.342	4
84	16	2	5	0	scenes	1	1	1	0.373	6
100	16	2	6	0	scenes	-1	-1	1	0.47	-1
116	16	2	7	0	scenes	-1	-1	1	0.437	-1
132	16	2	8	0	faces	-1	-1	1	0.366	-1
148	16	2	9	0	faces	1	1	1	0.341	6
164	16	2	10	0	faces	-1	-1	1	0.46	-1
180	16	2	11	0	faces	-1	-1	1	0.429	-1
196	16	2	12	0	faces	1	-1	0	0.365	3
212	16	2	13	0	faces	1	1	1	0.389	3
228	16	2	14	0	scenes	-1	-1	1	0.371	-1
244	16	2	15	0	faces	1	1	1	0.396	5
260	16	2	16	0	scenes	1	1	1	0.396	4
276	16	2	17	0	scenes	1	1	1	0.3	4
292	16	2	18	0	scenes	1	1	1	0.347	5
308	16	2	19	0	scenes	1	1	1	0.443	6
324	16	2	20	0	scenes	1	1	1	0.354	3
