onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	4	1	0	faces	-1	-1	1	0.568	-1
36	16	4	2	0	scenes	-1	-1	1	0.536	-1
52	16	4	3	0	scenes	-1	-1	1	0.472	-1
68	16	4	4	0	faces	-1	-1	1	0.792	-1
84	16	4	5	0	faces	1	1	1	0.471	4
100	16	4	6	0	scenes	-1	-1	1	0.414	-1
116	16	4	7	0	faces	1	1	1	0.35	4
132	16	4	8	0	faces	-1	-1	1	0.502	-1
148	16	4	9	0	scenes	1	-1	0	0.582	4
164	16	4	10	0	scenes	1	1	1	0.429	4
180	16	4	11	0	faces	-1	-1	1	0.365	-1
196	16	4	12	0	faces	1	1	1	0.748	3
212	16	4	13	0	scenes	-1	-1	1	0.404	-1
228	16	4	14	0	scenes	-1	-1	1	0.805	-1
244	16	4	15	0	faces	-1	1	0	0.82	-1
260	16	4	16	0	scenes	1	1	1	0.548	6
276	16	4	17	0	scenes	1	1	1	0.452	6
292	16	4	18	0	faces	1	-1	0	0.211	3
308	16	4	19	0	scenes	1	1	1	0.49	6
324	16	4	20	0	faces	1	1	1	0.482	5
