onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	28	5	1	0	switch	scene	bottom	1	1	1	0.44	3
48	28	5	2	0	switch	scene	bottom	1	1	1	0.623	3
76	28	5	3	0	switch	scene	top	-1	-1	1	0.439	-1
104	20	5	4	0	stay	scene	bottom	1	1	1	0.456	5
124	20	5	5	0	stay	scene	top	-1	-1	1	0.392	-1
144	28	5	6	0	switch	scene	top	-1	-1	1	0.342	-1
172	28	5	7	0	switch	scene	top	-1	-1	1	0.381	-1
200	28	5	8	0	switch	scene	bottom	1	-1	0	0.565	4
228	20	5	9	0	stay	scene	bottom	1	1	1	0.455	6
248	20	5	10	0	stay	scene	bottom	-1	-1	1	0.766	-1
268	20	5	11	0	stay	scene	bottom	1	1	1	0.43	6
288	20	5	12	0	stay	scene	top	1	-1	0	0.503	3
308	20	5	13	0	stay	scene	bottom	-1	-1	1	0.637	-1
328	20	5	14	0	stay	scene	top	-1	-1	1	0.34	-1
348	20	5	15	0	stay	scene	top	-1	-1	1	0.492	-1
368	20	5	16	0	stay	scene	bottom	-1	-1	1	0.524	-1
388	20	5	17	0	stay	scene	top	1	1	1	0.388	4
408	20	5	18	0	stay	scene	top	1	1	1	0.372	3
