onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	2	1	0	faces	1	1	1	0.407	4
36	16	2	2	0	scenes	-1	-1	1	0.495	-1
52	16	2	3	0	scenes	1	-1	0	0.399	3
68	16	2	4	0	faces	1	1	1	0.439	5
84	16	2	5	0	faces	-1	-1	1	0.79	-1
100	16	2	6	0	scenes	-1	-1	1	0.478	-1
116	16	2	7	0	faces	1	1	1	0.485	5
132	16	2	8	0	scenes	-1	-1	1	0.389	-1
148	16	2	9	0	scenes	1	1	1	0.453	3
164	16	2	10	0	faces	-1	-1	1	0.397	-1
180	16	2	11	0	scenes	-1	-1	1	0.508	-1
196	16	2	12	0	scenes	1	1	1	0.54	5
212	16	2	13	0	scenes	-1	-1	1	0.555	-1
228	16	2	14	0	faces	1	-1	0	0.38	5
244	16	2	15	0	scenes	1	1	1	0.411	3
260	16	2	16	0	faces	-1	-1	1	0.475	-1
276	16	2	17	0	faces	-1	-1	1	0.458	-1
292	16	2	18	0	faces	-1	1	0	0.442	-1
308	16	2	19	0	faces	-1	-1	1	0.41	-1
324	16	2	20	0	scenes	-1	-1	1	0.633	-1
